"document","topic","gamma"
"1939:Goodbye, Mr. Chips",50,0.01
"1939:Love Affair",1,0.017
"1939:Love Affair",2,0.017
"1939:Love Affair",3,0.017
"1939:Love Affair",4,0.017
"1939:Love Affair",5,0.017
"1939:Love Affair",6,0.017
"1939:Love Affair",7,0.017
"1939:Love Affair",8,0.017
"1939:Love Affair",9,0.017
"1939:Love Affair",10,0.017
"1939:Love Affair",11,0.017
"1939:Love Affair",12,0.017
"1939:Love Affair",13,0.017
"1939:Love Affair",14,0.017
"1939:Love Affair",15,0.017
"1939:Love Affair",16,0.017
"1939:Love Affair",17,0.017
"1939:Love Affair",18,0.017
"1939:Love Affair",19,0.017
"1939:Love Affair",20,0.017
"1939:Love Affair",21,0.183
"1939:Love Affair",22,0.017
"1939:Love Affair",23,0.017
"1939:Love Affair",24,0.017
"1939:Love Affair",25,0.017
"1939:Love Affair",26,0.017
"1939:Love Affair",27,0.017
"1939:Love Affair",28,0.017
"1939:Love Affair",29,0.017
"1939:Love Affair",30,0.017
"1939:Love Affair",31,0.017
"1939:Love Affair",32,0.017
"1939:Love Affair",33,0.017
"1939:Love Affair",34,0.017
"1939:Love Affair",35,0.017
"1939:Love Affair",36,0.017
"1939:Love Affair",37,0.017
"1939:Love Affair",38,0.017
"1939:Love Affair",39,0.017
"1939:Love Affair",40,0.017
"1939:Love Affair",41,0.017
"1939:Love Affair",42,0.017
"1939:Love Affair",43,0.017
"1939:Love Affair",44,0.017
"1939:Love Affair",45,0.017
"1939:Love Affair",46,0.017
"1939:Love Affair",47,0.017
"1939:Love Affair",48,0.017
"1939:Love Affair",49,0.017
"1939:Love Affair",50,0.017
"1939:Mr. Smith Goes to Washington",1,0.063
"1939:Mr. Smith Goes to Washington",2,0.001
"1939:Mr. Smith Goes to Washington",3,0.001
"1939:Mr. Smith Goes to Washington",4,0.001
"1939:Mr. Smith Goes to Washington",5,0.001
"1939:Mr. Smith Goes to Washington",6,0.007
"1939:Mr. Smith Goes to Washington",7,0.113
"1939:Mr. Smith Goes to Washington",8,0.051
"1939:Mr. Smith Goes to Washington",9,0.001
"1939:Mr. Smith Goes to Washington",10,0.001
"1939:Mr. Smith Goes to Washington",11,0.001
"1939:Mr. Smith Goes to Washington",12,0.001
"1939:Mr. Smith Goes to Washington",13,0.001
"1939:Mr. Smith Goes to Washington",14,0.001
"1939:Mr. Smith Goes to Washington",15,0.001
"1939:Mr. Smith Goes to Washington",16,0.001
"1939:Mr. Smith Goes to Washington",17,0.001
"1939:Mr. Smith Goes to Washington",18,0.001
"1939:Mr. Smith Goes to Washington",19,0.001
"1939:Mr. Smith Goes to Washington",20,0.013
"1939:Mr. Smith Goes to Washington",21,0.019
"1939:Mr. Smith Goes to Washington",22,0.001
"1939:Mr. Smith Goes to Washington",23,0.001
"1939:Mr. Smith Goes to Washington",24,0.001
"1939:Mr. Smith Goes to Washington",25,0.013
"1939:Mr. Smith Goes to Washington",26,0.001
"1939:Mr. Smith Goes to Washington",27,0.001
"1939:Mr. Smith Goes to Washington",28,0.057
"1939:Mr. Smith Goes to Washington",29,0.001
"1939:Mr. Smith Goes to Washington",30,0.026
"1939:Mr. Smith Goes to Washington",31,0.001
"1939:Mr. Smith Goes to Washington",32,0.001
"1939:Mr. Smith Goes to Washington",33,0.019
"1939:Mr. Smith Goes to Washington",34,0.001
"1939:Mr. Smith Goes to Washington",35,0.001
"1939:Mr. Smith Goes to Washington",36,0.001
"1939:Mr. Smith Goes to Washington",37,0.001
"1939:Mr. Smith Goes to Washington",38,0.001
"1939:Mr. Smith Goes to Washington",39,0.001
