"","topic","term","beta"
"164",14,"parti",0.00855196966179088
"165",15,"parti",0.000130143631243936
"166",16,"parti",4.47988531493594e-05
"167",17,"parti",0.00132141958217971
"168",18,"parti",4.20662964832576e-05
"169",19,"parti",3.99329127066528e-05
"170",20,"parti",3.89985180563139e-05
"171",21,"parti",0.00012045290291496
"172",22,"parti",9.51275660660946e-06
"173",23,"parti",2.41826272006191e-05
"174",24,"parti",3.64936865922195e-05
"175",25,"parti",5.78302105019663e-05
"176",26,"parti",4.77281405116457e-05
"177",27,"parti",0.000377684255962016
"178",28,"parti",6.20655412115193e-05
"179",29,"parti",2.22756838634946e-05
"180",30,"parti",7.21917412647994e-05
"181",31,"parti",5.6554688383667e-05
"182",32,"parti",0.000599623094055165
"183",33,"parti",6.34437254155564e-05
"184",34,"parti",1.7342443897194e-05
"185",35,"parti",7.18803910293272e-05
"186",36,"parti",0.00076413652572593
"187",37,"parti",4.10981423639652e-05
"188",38,"parti",9.98801438274072e-05
"189",39,"parti",7.52898659840385e-05
"190",40,"parti",0.0059307216105099
"191",41,"parti",4.35881788858861e-05
"192",42,"parti",3.23603650249175e-05
"193",43,"parti",6.23752495009981e-05
"194",44,"parti",0.000420296500076418
"195",45,"parti",0.00659572917425844
"196",46,"parti",0.013683851919146
"197",47,"parti",4.7523999619808e-05
"198",48,"parti",5.58596804826276e-05
"199",49,"parti",3.60334390314212e-05
"200",50,"parti",3.19877167167808e-05
"201",1,"agre",3.39420270178535e-05
"202",2,"agre",0.0050192225544639
"203",3,"agre",2.58317834263278e-05
"204",4,"agre",5.86097761106553e-05
"205",5,"agre",7.59762953958366e-05
"206",6,"agre",0.0124776459112339
"207",7,"agre",3.87867504460476e-05
"208",8,"agre",8.37380673254062e-05
"209",9,"agre",0.00104208019055181
"210",10,"agre",0.00131082365820633
"211",11,"agre",0.00170890296765589
"212",12,"agre",0.00275715221664119
"213",13,"agre",7.08616780045352e-05
"214",14,"agre",0.000812630601346645
"215",15,"agre",0.00119495515960342
"216",16,"agre",0.000492787384642953
"217",17,"agre",6.29247420085578e-05
"218",18,"agre",4.20662964832576e-05
"219",19,"agre",3.99329127066528e-05
"220",20,"agre",3.89985180563139e-05
"221",21,"agre",0.00012045290291496
"222",22,"agre",0.00676356994729933
"223",23,"agre",0.00123331398723157
"224",24,"agre",3.64936865922195e-05
"225",25,"agre",5.78302105019663e-05
"226",26,"agre",4.77281405116457e-05
"227",27,"agre",0.00649257220963275
"228",28,"agre",6.20655412115193e-05
"229",29,"agre",0.000467789361133387
"230",30,"agre",0.000794109153912792
"231",31,"agre",5.6554688383667e-05
"232",32,"agre",2.85534806692936e-05
"233",33,"agre",6.34437254155564e-05
"234",34,"agre",0.000537615760813014
"235",35,"agre",7.18803910293272e-05
"236",36,"agre",3.63874536059966e-05
"237",37,"agre",4.10981423639652e-05
"238",38,"agre",0.00209748302037555
"239",39,"agre",0.00685137780454751
"240",40,"agre",0.00994754501205047
"241",41,"agre",0.00614593322290994
"242",42,"agre",3.23603650249175e-05
"243",43,"agre",6.23752495009981e-05
"244",44,"agre",0.00156655968210301
"245",45,"agre",3.6440492675461e-05
"246",46,"agre",5.67794685441744e-05
"247",47,"agre",4.7523999619808e-05
"248",48,"agre",0.00284884370461401
"249",49,"agre",3.60334390314212e-05
"250",50,"agre",3.19877167167808e-05
"251",1,"love",3.39420270178535e-05
"252",2,"love",3.55973230813043e-05
"253",3,"love",2.58317834263278e-05
"254",4,"love",5.86097761106553e-05
"255",5,"love",7.59762953958366e-05
"256",6,"love",0.0382187178236601
"257",7,"love",0.0116748118842603
"258",8,"love",8.37380673254062e-05
"259",9,"love",4.96228662167527e-05
"260",10,"love",1.4404655584685e-05
"261",11,"love",4.16805601867289e-05
"262",12,"love",0.00303013758462546
"263",13,"love",7.08616780045352e-05
"264",14,"love",0.0213218791115239
"265",15,"love",0.00545420127304134
"266",16,"love",4.47988531493594e-05
"267",17,"love",6.29247420085578e-05
"268",18,"love",4.20662964832576e-05
"269",19,"love",0.000439262039773181
"270",20,"love",0.00159893924030887
"271",21,"love",0.00012045290291496
"272",22,"love",9.51275660660946e-06
"273",23,"love",2.41826272006191e-05
"274",24,"love",3.64936865922195e-05
"275",25,"love",5.78302105019663e-05
"276",26,"love",0.000525009545628102
"277",27,"love",1.79849645696198e-05
"278",28,"love",6.20655412115193e-05
"279",29,"love",2.22756838634946e-05
"280",30,"love",7.21917412647994e-05
"281",31,"love",5.6554688383667e-05
"282",32,"love",0.000314088287362229
"283",33,"love",6.34437254155564e-05
"284",34,"love",0.0138912975616524
"285",35,"love",0.0101351351351351
"286",36,"love",3.63874536059966e-05
"287",37,"love",4.10981423639652e-05
"288",38,"love",9.98801438274072e-05
"289",39,"love",0.00308688450534558
"290",40,"love",2.36283729502387e-05
"291",41,"love",4.35881788858861e-05
"292",42,"love",3.23603650249175e-05
"293",43,"love",6.23752495009981e-05
"294",44,"love",3.82087727342197e-05
"295",45,"love",0.00586691932074922
"296",46,"love",0.0165228253463548
"297",47,"love",4.7523999619808e-05
"298",48,"love",0.000614456485308904
"299",49,"love",0.00436004612280196
"300",50,"love",3.19877167167808e-05
"301",1,"marri",3.39420270178535e-05
"302",2,"marri",3.55973230813043e-05
"303",3,"marri",2.58317834263278e-05
"304",4,"marri",5.86097761106553e-05
"305",5,"marri",7.59762953958366e-05
"306",6,"marri",0.019929008833252
"307",7,"marri",3.87867504460476e-05
"308",8,"marri",8.37380673254062e-05
"309",9,"marri",4.96228662167527e-05
"310",10,"marri",0.00145487021405318
"311",11,"marri",4.16805601867289e-05
"312",12,"marri",2.72985367984276e-05
"313",13,"marri",7.08616780045352e-05
"314",14,"marri",0.00119959755436886
"315",15,"marri",1.18312392039942e-05
"316",16,"marri",0.000492787384642953
"317",17,"marri",0.00257991442235087
"318",18,"marri",4.20662964832576e-05
"319",19,"marri",3.99329127066528e-05
"320",20,"marri",3.89985180563139e-05
"321",21,"marri",0.00373403999036377
"322",22,"marri",9.51275660660946e-06
"323",23,"marri",2.41826272006191e-05
"324",24,"marri",3.64936865922195e-05
"325",25,"marri",5.78302105019663e-05
"326",26,"marri",4.77281405116457e-05
"327",27,"marri",1.79849645696198e-05
"328",28,"marri",0.0149577954319762
"329",29,"marri",2.22756838634946e-05
"330",30,"marri",0.00295986139185677
"331",31,"marri",5.6554688383667e-05
"332",32,"marri",2.85534806692936e-05
"333",33,"marri",6.34437254155564e-05
"334",34,"marri",0.0107696576601575
"335",35,"marri",7.18803910293272e-05
"336",36,"marri",0.000400261989665963
"337",37,"marri",4.10981423639652e-05
"338",38,"marri",9.98801438274072e-05
"339",39,"marri",7.52898659840385e-05
"340",40,"marri",0.000259912102452625
"341",41,"marri",0.000479469967744748
"342",42,"marri",0.000679567665523267
"343",43,"marri",6.23752495009981e-05
"344",44,"marri",3.82087727342197e-05
"345",45,"marri",3.6440492675461e-05
"346",46,"marri",0.00459913695207813
"347",47,"marri",4.7523999619808e-05
"348",48,"marri",5.58596804826276e-05
"349",49,"marri",3.60334390314212e-05
"350",50,"marri",0.00483014522423389
"351",1,"mean",0.0024098839182676
"352",2,"mean",3.55973230813043e-05
"353",3,"mean",2.58317834263278e-05
"354",4,"mean",5.86097761106553e-05
"355",5,"mean",7.59762953958366e-05
"356",6,"mean",1.35479325854875e-05
"357",7,"mean",3.87867504460476e-05
"358",8,"mean",8.37380673254062e-05
"359",9,"mean",4.96228662167527e-05
"360",10,"mean",1.4404655584685e-05
"361",11,"mean",0.00295931977325775
"362",12,"mean",0.000846254640751256
"363",13,"mean",7.08616780045352e-05
"364",14,"mean",3.86966953022212e-05
"365",15,"mean",1.18312392039942e-05
"366",16,"mean",0.00228474151061733
"367",17,"mean",6.29247420085578e-05
"368",18,"mean",4.20662964832576e-05
"369",19,"mean",0.000838591166839709
"370",20,"mean",3.89985180563139e-05
"371",21,"mean",0.00012045290291496
"372",22,"mean",0.00333897756891992
"373",23,"mean",2.41826272006191e-05
"374",24,"mean",3.64936865922195e-05
"375",25,"mean",5.78302105019663e-05
"376",26,"mean",4.77281405116457e-05
"377",27,"mean",1.79849645696198e-05
"378",28,"mean",0.000682720953326713
"379",29,"mean",2.22756838634946e-05
"380",30,"mean",7.21917412647994e-05
"381",31,"mean",5.6554688383667e-05
"382",32,"mean",2.85534806692936e-05
"383",33,"mean",6.34437254155564e-05
"384",34,"mean",1.7342443897194e-05
"385",35,"mean",7.18803910293272e-05
"386",36,"mean",0.0033112582781457
"387",37,"mean",0.00127404241328292
"388",38,"mean",0.00109868158210148
"389",39,"mean",0.000828188525824424
"390",40,"mean",2.36283729502387e-05
"391",41,"mean",4.35881788858861e-05
"392",42,"mean",0.00100317131577244
"393",43,"mean",6.23752495009981e-05
"394",44,"mean",0.000420296500076418
"395",45,"mean",0.00440929961373078
"396",46,"mean",5.67794685441744e-05
"397",47,"mean",4.7523999619808e-05
"398",48,"mean",5.58596804826276e-05
"399",49,"mean",3.60334390314212e-05
"400",50,"mean",0.00163137355255582
"401",1,"month",3.39420270178535e-05
"402",2,"month",0.00074754378470739
"403",3,"month",2.58317834263278e-05
"404",4,"month",5.86097761106553e-05
"405",5,"month",7.59762953958366e-05
"406",6,"month",0.00434888635994147
"407",7,"month",0.000426654254906524
"408",8,"month",8.37380673254062e-05
"409",9,"month",4.96228662167527e-05
"410",10,"month",1.4404655584685e-05
"411",11,"month",4.16805601867289e-05
"412",12,"month",0.000300283904782704
"413",13,"month",7.08616780045352e-05
"414",14,"month",0.00623016794365761
"415",15,"month",1.18312392039942e-05
"416",16,"month",4.47988531493594e-05
"417",17,"month",6.29247420085578e-05
"418",18,"month",0.00677267373380448
"419",19,"month",3.99329127066528e-05
"420",20,"month",3.89985180563139e-05
"421",21,"month",0.00012045290291496
"422",22,"month",0.00295846730465554
"423",23,"month",2.41826272006191e-05
"424",24,"month",0.00405079921173637
"425",25,"month",5.78302105019663e-05
"426",26,"month",4.77281405116457e-05
"427",27,"month",0.000557533901658214
"428",28,"month",6.20655412115193e-05
"429",29,"month",2.22756838634946e-05
"430",30,"month",7.21917412647994e-05
"431",31,"month",0.000622101572220337
"432",32,"month",0.00174176232082691
"433",33,"month",6.34437254155564e-05
"434",34,"month",0.000884464638756894
"435",35,"month",7.18803910293272e-05
"436",36,"month",3.63874536059966e-05
"437",37,"month",4.10981423639652e-05
"438",38,"month",9.98801438274072e-05
"439",39,"month",7.52898659840385e-05
"440",40,"month",2.36283729502387e-05
"441",41,"month",4.35881788858861e-05
"442",42,"month",0.00294479321726749
"443",43,"month",6.23752495009981e-05
"444",44,"month",3.82087727342197e-05
"445",45,"month",3.6440492675461e-05
"446",46,"month",0.00403134226663639
"447",47,"month",0.00384944396920445
"448",48,"month",5.58596804826276e-05
"449",49,"month",3.60334390314212e-05
"450",50,"month",0.00419039088989828
"451",1,"move",0.000373362297196389
"452",2,"move",3.55973230813043e-05
"453",3,"move",2.58317834263278e-05
