"document","topic","gamma"
"1928:ThePatriot",30,0
"1928:ThePatriot",31,0
"1928:ThePatriot",32,0
"1928:ThePatriot",33,0
"1928:ThePatriot",34,0
"1928:ThePatriot",35,0
"1928:ThePatriot",36,0
"1928:ThePatriot",37,0
"1928:ThePatriot",38,0
"1928:ThePatriot",39,0
"1928:ThePatriot",40,0
"1928:ThePatriot",41,0
"1928:ThePatriot",42,0
"1928:ThePatriot",43,0
"1928:ThePatriot",44,0
"1928:ThePatriot",45,0
"1928:ThePatriot",46,0
"1928:ThePatriot",47,0.009
"1928:ThePatriot",48,0
"1928:ThePatriot",49,0
"1928:ThePatriot",50,0.178
"1929:AllQuietontheWesternFront",1,0
"1929:AllQuietontheWesternFront",2,0.018
"1929:AllQuietontheWesternFront",3,0
"1929:AllQuietontheWesternFront",4,0.056
"1929:AllQuietontheWesternFront",5,0
"1929:AllQuietontheWesternFront",6,0
"1929:AllQuietontheWesternFront",7,0
"1929:AllQuietontheWesternFront",8,0
"1929:AllQuietontheWesternFront",9,0.004
"1929:AllQuietontheWesternFront",10,0
"1929:AllQuietontheWesternFront",11,0.243
"1929:AllQuietontheWesternFront",12,0
"1929:AllQuietontheWesternFront",13,0
"1929:AllQuietontheWesternFront",14,0
"1929:AllQuietontheWesternFront",15,0
"1929:AllQuietontheWesternFront",16,0
"1929:AllQuietontheWesternFront",17,0
"1929:AllQuietontheWesternFront",18,0.001
"1929:AllQuietontheWesternFront",19,0
"1929:AllQuietontheWesternFront",20,0.019
"1929:AllQuietontheWesternFront",21,0
"1929:AllQuietontheWesternFront",22,0.126
"1929:AllQuietontheWesternFront",23,0.235
"1929:AllQuietontheWesternFront",24,0
"1929:AllQuietontheWesternFront",25,0
"1929:AllQuietontheWesternFront",26,0
"1929:AllQuietontheWesternFront",27,0
"1929:AllQuietontheWesternFront",28,0
"1929:AllQuietontheWesternFront",29,0.011
"1929:AllQuietontheWesternFront",30,0.001
"1929:AllQuietontheWesternFront",31,0
"1929:AllQuietontheWesternFront",32,0
"1929:AllQuietontheWesternFront",33,0
"1929:AllQuietontheWesternFront",34,0
"1929:AllQuietontheWesternFront",35,0.001
"1929:AllQuietontheWesternFront",36,0
"1929:AllQuietontheWesternFront",37,0
"1929:AllQuietontheWesternFront",38,0.058
"1929:AllQuietontheWesternFront",39,0.126
"1929:AllQuietontheWesternFront",40,0
"1929:AllQuietontheWesternFront",41,0
"1929:AllQuietontheWesternFront",42,0.061
"1929:AllQuietontheWesternFront",43,0
"1929:AllQuietontheWesternFront",44,0.001
"1929:AllQuietontheWesternFront",45,0
"1929:AllQuietontheWesternFront",46,0
"1929:AllQuietontheWesternFront",47,0.035
"1929:AllQuietontheWesternFront",48,0
"1929:AllQuietontheWesternFront",49,0
"1929:AllQuietontheWesternFront",50,0.002
"1929:TheBigHouse",1,0
"1929:TheBigHouse",2,0.01
"1929:TheBigHouse",3,0
"1929:TheBigHouse",4,0.013
"1929:TheBigHouse",5,0
"1929:TheBigHouse",6,0.002
"1929:TheBigHouse",7,0
"1929:TheBigHouse",8,0
"1929:TheBigHouse",9,0
"1929:TheBigHouse",10,0
"1929:TheBigHouse",11,0.598
"1929:TheBigHouse",12,0
"1929:TheBigHouse",13,0.001
"1929:TheBigHouse",14,0
"1929:TheBigHouse",15,0
"1929:TheBigHouse",16,0.001
"1929:TheBigHouse",17,0.001
"1929:TheBigHouse",18,0
"1929:TheBigHouse",19,0
"1929:TheBigHouse",20,0
"1929:TheBigHouse",21,0
"1929:TheBigHouse",22,0.011
"1929:TheBigHouse",23,0.029
"1929:TheBigHouse",24,0
"1929:TheBigHouse",25,0.102
"1929:TheBigHouse",26,0
"1929:TheBigHouse",27,0
"1929:TheBigHouse",28,0.032
"1929:TheBigHouse",29,0.002
"1929:TheBigHouse",30,0.018
"1929:TheBigHouse",31,0
"1929:TheBigHouse",32,0
"1929:TheBigHouse",33,0
"1929:TheBigHouse",34,0
"1929:TheBigHouse",35,0
"1929:TheBigHouse",36,0
"1929:TheBigHouse",37,0
"1929:TheBigHouse",38,0.018
"1929:TheBigHouse",39,0.018
"1929:TheBigHouse",40,0
"1929:TheBigHouse",41,0
"1929:TheBigHouse",42,0.063
"1929:TheBigHouse",43,0.017
"1929:TheBigHouse",44,0
"1929:TheBigHouse",45,0
"1929:TheBigHouse",46,0
"1929:TheBigHouse",47,0.016
"1929:TheBigHouse",48,0.007
"1929:TheBigHouse",49,0
"1929:TheBigHouse",50,0.036
"1929:TheDivorcee",1,0
"1929:TheDivorcee",2,0
"1929:TheDivorcee",3,0.016
"1929:TheDivorcee",4,0.084
"1929:TheDivorcee",5,0
"1929:TheDivorcee",6,0.006
"1929:TheDivorcee",7,0.02
"1929:TheDivorcee",8,0
"1929:TheDivorcee",9,0.001
"1929:TheDivorcee",10,0
"1929:TheDivorcee",11,0.225
"1929:TheDivorcee",12,0.002
"1929:TheDivorcee",13,0
"1929:TheDivorcee",14,0
"1929:TheDivorcee",15,0
"1929:TheDivorcee",16,0
"1929:TheDivorcee",17,0
"1929:TheDivorcee",18,0
"1929:TheDivorcee",19,0.005
"1929:TheDivorcee",20,0
"1929:TheDivorcee",21,0.001
"1929:TheDivorcee",22,0.028
"1929:TheDivorcee",23,0
"1929:TheDivorcee",24,0
"1929:TheDivorcee",25,0
"1929:TheDivorcee",26,0
"1929:TheDivorcee",27,0.001
"1929:TheDivorcee",28,0.006
"1929:TheDivorcee",29,0
"1929:TheDivorcee",30,0
"1929:TheDivorcee",31,0
"1929:TheDivorcee",32,0
"1929:TheDivorcee",33,0
"1929:TheDivorcee",34,0
"1929:TheDivorcee",35,0.002
"1929:TheDivorcee",36,0
"1929:TheDivorcee",37,0
"1929:TheDivorcee",38,0.065
"1929:TheDivorcee",39,0.003
"1929:TheDivorcee",40,0
"1929:TheDivorcee",41,0
"1929:TheDivorcee",42,0.488
"1929:TheDivorcee",43,0
"1929:TheDivorcee",44,0
"1929:TheDivorcee",45,0
"1929:TheDivorcee",46,0.023
"1929:TheDivorcee",47,0
"1929:TheDivorcee",48,0
"1929:TheDivorcee",49,0.007
"1929:TheDivorcee",50,0.015
"1930:Cimarron",1,0.001
"1930:Cimarron",2,0.202
"1930:Cimarron",3,0
"1930:Cimarron",4,0.072
"1930:Cimarron",5,0
"1930:Cimarron",6,0
"1930:Cimarron",7,0.001
"1930:Cimarron",8,0.043
"1930:Cimarron",9,0
"1930:Cimarron",10,0
"1930:Cimarron",11,0.146
"1930:Cimarron",12,0
"1930:Cimarron",13,0
"1930:Cimarron",14,0.003
"1930:Cimarron",15,0
"1930:Cimarron",16,0
"1930:Cimarron",17,0.001
"1930:Cimarron",18,0
"1930:Cimarron",19,0
"1930:Cimarron",20,0.051
"1930:Cimarron",21,0.005
"1930:Cimarron",22,0.039
"1930:Cimarron",23,0
"1930:Cimarron",24,0
"1930:Cimarron",25,0
"1930:Cimarron",26,0
"1930:Cimarron",27,0.003
"1930:Cimarron",28,0.028
"1930:Cimarron",29,0.004
"1930:Cimarron",30,0
"1930:Cimarron",31,0.02
"1930:Cimarron",32,0
"1930:Cimarron",33,0
"1930:Cimarron",34,0
"1930:Cimarron",35,0
"1930:Cimarron",36,0.008
"1930:Cimarron",37,0
"1930:Cimarron",38,0.065
"1930:Cimarron",39,0
"1930:Cimarron",40,0.001
"1930:Cimarron",41,0
"1930:Cimarron",42,0.106
"1930:Cimarron",43,0
"1930:Cimarron",44,0.01
"1930:Cimarron",45,0.001
"1930:Cimarron",46,0.103
"1930:Cimarron",47,0
"1930:Cimarron",48,0
"1930:Cimarron",49,0.085
"1930:Cimarron",50,0
"1930:GrandHotel",1,0
"1930:GrandHotel",2,0
"1930:GrandHotel",3,0
"1930:GrandHotel",4,0.09
"1930:GrandHotel",5,0.001
"1930:GrandHotel",6,0
"1930:GrandHotel",7,0.002
"1930:GrandHotel",8,0
"1930:GrandHotel",9,0
"1930:GrandHotel",10,0
"1930:GrandHotel",11,0.022
"1930:GrandHotel",12,0
"1930:GrandHotel",13,0
"1930:GrandHotel",14,0.223
"1930:GrandHotel",15,0
"1930:GrandHotel",16,0.002
"1930:GrandHotel",17,0
"1930:GrandHotel",18,0
"1930:GrandHotel",19,0.046
"1930:GrandHotel",20,0.003
"1930:GrandHotel",21,0
"1930:GrandHotel",22,0
"1930:GrandHotel",23,0
"1930:GrandHotel",24,0
"1930:GrandHotel",25,0
"1930:GrandHotel",26,0
"1930:GrandHotel",27,0
"1930:GrandHotel",28,0
"1930:GrandHotel",29,0
"1930:GrandHotel",30,0
"1930:GrandHotel",31,0.009
"1930:GrandHotel",32,0
"1930:GrandHotel",33,0
"1930:GrandHotel",34,0.007
"1930:GrandHotel",35,0
"1930:GrandHotel",36,0
"1930:GrandHotel",37,0
"1930:GrandHotel",38,0.114
"1930:GrandHotel",39,0.009
"1930:GrandHotel",40,0.007
"1930:GrandHotel",41,0.055
"1930:GrandHotel",42,0.011
"1930:GrandHotel",43,0.391
"1930:GrandHotel",44,0
"1930:GrandHotel",45,0
"1930:GrandHotel",46,0.008
"1930:GrandHotel",47,0
"1930:GrandHotel",48,0
"1930:GrandHotel",49,0
"1930:GrandHotel",50,0
"1930:TheFrontPage",1,0.007
"1930:TheFrontPage",2,0
"1930:TheFrontPage",3,0
"1930:TheFrontPage",4,0
"1930:TheFrontPage",5,0
"1930:TheFrontPage",6,0.004
"1930:TheFrontPage",7,0
"1930:TheFrontPage",8,0
"1930:TheFrontPage",9,0
"1930:TheFrontPage",10,0.05
"1930:TheFrontPage",11,0.299
"1930:TheFrontPage",12,0
"1930:TheFrontPage",13,0
"1930:TheFrontPage",14,0.002
"1930:TheFrontPage",15,0
"1930:TheFrontPage",16,0
"1930:TheFrontPage",17,0
"1930:TheFrontPage",18,0
"1930:TheFrontPage",19,0
"1930:TheFrontPage",20,0
"1930:TheFrontPage",21,0
"1930:TheFrontPage",22,0.016
"1930:TheFrontPage",23,0.001
"1930:TheFrontPage",24,0
"1930:TheFrontPage",25,0.01
"1930:TheFrontPage",26,0
"1930:TheFrontPage",27,0
"1930:TheFrontPage",28,0
"1930:TheFrontPage",29,0
"1930:TheFrontPage",30,0.206
"1930:TheFrontPage",31,0.015
"1930:TheFrontPage",32,0
"1930:TheFrontPage",33,0.054
"1930:TheFrontPage",34,0
"1930:TheFrontPage",35,0
"1930:TheFrontPage",36,0
"1930:TheFrontPage",37,0.009
"1930:TheFrontPage",38,0.002
"1930:TheFrontPage",39,0.031
"1930:TheFrontPage",40,0
"1930:TheFrontPage",41,0.03
"1930:TheFrontPage",42,0.084
"1930:TheFrontPage",43,0.023
"1930:TheFrontPage",44,0.068
"1930:TheFrontPage",45,0.002
"1930:TheFrontPage",46,0
"1930:TheFrontPage",47,0
"1930:TheFrontPage",48,0
"1930:TheFrontPage",49,0.052
"1930:TheFrontPage",50,0.033
"1931:Arrowsmith",1,0
"1931:Arrowsmith",2,0
"1931:Arrowsmith",3,0
"1931:Arrowsmith",4,0.14
"1931:Arrowsmith",5,0.007
"1931:Arrowsmith",6,0
"1931:Arrowsmith",7,0.027
"1931:Arrowsmith",8,0
"1931:Arrowsmith",9,0
"1931:Arrowsmith",10,0.002
"1931:Arrowsmith",11,0.229
"1931:Arrowsmith",12,0
"1931:Arrowsmith",13,0
"1931:Arrowsmith",14,0
"1931:Arrowsmith",15,0.001
"1931:Arrowsmith",16,0
"1931:Arrowsmith",17,0
"1931:Arrowsmith",18,0
"1931:Arrowsmith",19,0.002
"1931:Arrowsmith",20,0.024
"1931:Arrowsmith",21,0
"1931:Arrowsmith",22,0
"1931:Arrowsmith",23,0.016
"1931:Arrowsmith",24,0
"1931:Arrowsmith",25,0
"1931:Arrowsmith",26,0
"1931:Arrowsmith",27,0.002
"1931:Arrowsmith",28,0.016
"1931:Arrowsmith",29,0
"1931:Arrowsmith",30,0.001
"1931:Arrowsmith",31,0
"1931:Arrowsmith",32,0
"1931:Arrowsmith",33,0.008
"1931:Arrowsmith",34,0
"1931:Arrowsmith",35,0
"1931:Arrowsmith",36,0
"1931:Arrowsmith",37,0
"1931:Arrowsmith",38,0.053
"1931:Arrowsmith",39,0.023
"1931:Arrowsmith",40,0.035
"1931:Arrowsmith",41,0.249
"1931:Arrowsmith",42,0.154
"1931:Arrowsmith",43,0
"1931:Arrowsmith",44,0
"1931:Arrowsmith",45,0
"1931:Arrowsmith",46,0
"1931:Arrowsmith",47,0
"1931:Arrowsmith",48,0.009
"1931:Arrowsmith",49,0
"1931:Arrowsmith",50,0
"1931:BadGirl",1,0
"1931:BadGirl",2,0
"1931:BadGirl",3,0.014
"1931:BadGirl",4,0
"1931:BadGirl",5,0
"1931:BadGirl",6,0.003
"1931:BadGirl",7,0
"1931:BadGirl",8,0.001
"1931:BadGirl",9,0
"1931:BadGirl",10,0
"1931:BadGirl",11,0.497
"1931:BadGirl",12,0.001
"1931:BadGirl",13,0.007
"1931:BadGirl",14,0
"1931:BadGirl",15,0
"1931:BadGirl",16,0
"1931:BadGirl",17,0
"1931:BadGirl",18,0
"1931:BadGirl",19,0
"1931:BadGirl",20,0
"1931:BadGirl",21,0.001
"1931:BadGirl",22,0.04
"1931:BadGirl",23,0
"1931:BadGirl",24,0
"1931:BadGirl",25,0
"1931:BadGirl",26,0
"1931:BadGirl",27,0
"1931:BadGirl",28,0
"1931:BadGirl",29,0
"1931:BadGirl",30,0.11
"1931:BadGirl",31,0.001
"1931:BadGirl",32,0
"1931:BadGirl",33,0
"1931:BadGirl",34,0
"1931:BadGirl",35,0.001
"1931:BadGirl",36,0
"1931:BadGirl",37,0
"1931:BadGirl",38,0.001
"1931:BadGirl",39,0
"1931:BadGirl",40,0
"1931:BadGirl",41,0.028
"1931:BadGirl",42,0.248
"1931:BadGirl",43,0.043
"1931:BadGirl",44,0
"1931:BadGirl",45,0
"1931:BadGirl",46,0
"1931:BadGirl",47,0
"1931:BadGirl",48,0
"1931:BadGirl",49,0
"1931:BadGirl",50,0
"1931:OneHourwithYou",1,0
"1931:OneHourwithYou",2,0
"1931:OneHourwithYou",3,0
"1931:OneHourwithYou",4,0.094
"1931:OneHourwithYou",5,0
"1931:OneHourwithYou",6,0
"1931:OneHourwithYou",7,0.001
"1931:OneHourwithYou",8,0
"1931:OneHourwithYou",9,0
"1931:OneHourwithYou",10,0
"1931:OneHourwithYou",11,0
"1931:OneHourwithYou",12,0
"1931:OneHourwithYou",13,0
"1931:OneHourwithYou",14,0
"1931:OneHourwithYou",15,0.145
"1931:OneHourwithYou",16,0
"1931:OneHourwithYou",17,0
"1931:OneHourwithYou",18,0
"1931:OneHourwithYou",19,0
"1931:OneHourwithYou",20,0
"1931:OneHourwithYou",21,0
"1931:OneHourwithYou",22,0
"1931:OneHourwithYou",23,0
"1931:OneHourwithYou",24,0
"1931:OneHourwithYou",25,0
"1931:OneHourwithYou",26,0
"1931:OneHourwithYou",27,0.001
"1931:OneHourwithYou",28,0
"1931:OneHourwithYou",29,0
"1931:OneHourwithYou",30,0
"1931:OneHourwithYou",31,0
"1931:OneHourwithYou",32,0
"1931:OneHourwithYou",33,0
"1931:OneHourwithYou",34,0
"1931:OneHourwithYou",35,0
"1931:OneHourwithYou",36,0
"1931:OneHourwithYou",37,0.005
"1931:OneHourwithYou",38,0.105
"1931:OneHourwithYou",39,0.002
"1931:OneHourwithYou",40,0
"1931:OneHourwithYou",41,0
"1931:OneHourwithYou",42,0.569
"1931:OneHourwithYou",43,0
"1931:OneHourwithYou",44,0.034
"1931:OneHourwithYou",45,0
"1931:OneHourwithYou",46,0
"1931:OneHourwithYou",47,0
"1931:OneHourwithYou",48,0
"1931:OneHourwithYou",49,0.03
"1931:OneHourwithYou",50,0.01
"1931:ShanghaiExpress",1,0
"1931:ShanghaiExpress",2,0
"1931:ShanghaiExpress",3,0
"1931:ShanghaiExpress",4,0.286
"1931:ShanghaiExpress",5,0.025
"1931:ShanghaiExpress",6,0
"1931:ShanghaiExpress",7,0.038
"1931:ShanghaiExpress",8,0
"1931:ShanghaiExpress",9,0
"1931:ShanghaiExpress",10,0
"1931:ShanghaiExpress",11,0.127
"1931:ShanghaiExpress",12,0
"1931:ShanghaiExpress",13,0
"1931:ShanghaiExpress",14,0
"1931:ShanghaiExpress",15,0
"1931:ShanghaiExpress",16,0
"1931:ShanghaiExpress",17,0
"1931:ShanghaiExpress",18,0.003
"1931:ShanghaiExpress",19,0
"1931:ShanghaiExpress",20,0
"1931:ShanghaiExpress",21,0
"1931:ShanghaiExpress",22,0
"1931:ShanghaiExpress",23,0
"1931:ShanghaiExpress",24,0
"1931:ShanghaiExpress",25,0
"1931:ShanghaiExpress",26,0
"1931:ShanghaiExpress",27,0
"1931:ShanghaiExpress",28,0
"1931:ShanghaiExpress",29,0
"1931:ShanghaiExpress",30,0
"1931:ShanghaiExpress",31,0.058
"1931:ShanghaiExpress",32,0
"1931:ShanghaiExpress",33,0
"1931:ShanghaiExpress",34,0.001
"1931:ShanghaiExpress",35,0
"1931:ShanghaiExpress",36,0.001
"1931:ShanghaiExpress",37,0
"1931:ShanghaiExpress",38,0.286
"1931:ShanghaiExpress",39,0.067
"1931:ShanghaiExpress",40,0
"1931:ShanghaiExpress",41,0.005
"1931:ShanghaiExpress",42,0.097
"1931:ShanghaiExpress",43,0
"1931:ShanghaiExpress",44,0
"1931:ShanghaiExpress",45,0
"1931:ShanghaiExpress",46,0
"1931:ShanghaiExpress",47,0
"1931:ShanghaiExpress",48,0
"1931:ShanghaiExpress",49,0
"1931:ShanghaiExpress",50,0
"1931:TheChamp",1,0
"1931:TheChamp",2,0
"1931:TheChamp",3,0
"1931:TheChamp",4,0.034
"1931:TheChamp",5,0
"1931:TheChamp",6,0
"1931:TheChamp",7,0.001
"1931:TheChamp",8,0
"1931:TheChamp",9,0
"1931:TheChamp",10,0
"1931:TheChamp",11,0.337
"1931:TheChamp",12,0.001
"1931:TheChamp",13,0
"1931:TheChamp",14,0
"1931:TheChamp",15,0.001
"1931:TheChamp",16,0
"1931:TheChamp",17,0
"1931:TheChamp",18,0
"1931:TheChamp",19,0.006
"1931:TheChamp",20,0.021
"1931:TheChamp",21,0
"1931:TheChamp",22,0.053
"1931:TheChamp",23,0
"1931:TheChamp",24,0
"1931:TheChamp",25,0.001
"1931:TheChamp",26,0.005
"1931:TheChamp",27,0.01
"1931:TheChamp",28,0
"1931:TheChamp",29,0.12
"1931:TheChamp",30,0.066
"1931:TheChamp",31,0.001
"1931:TheChamp",32,0
"1931:TheChamp",33,0
"1931:TheChamp",34,0.001
"1931:TheChamp",35,0
"1931:TheChamp",36,0.205
"1931:TheChamp",37,0.001
"1931:TheChamp",38,0
"1931:TheChamp",39,0
"1931:TheChamp",40,0
"1931:TheChamp",41,0.01
"1931:TheChamp",42,0.121
"1931:TheChamp",43,0
"1931:TheChamp",44,0
"1931:TheChamp",45,0
"1931:TheChamp",46,0
"1931:TheChamp",47,0
"1931:TheChamp",48,0
"1931:TheChamp",49,0
"1931:TheChamp",50,0
"1931:TheSmilingLieutenant",1,0
"1931:TheSmilingLieutenant",2,0
"1931:TheSmilingLieutenant",3,0
"1931:TheSmilingLieutenant",4,0.113
"1931:TheSmilingLieutenant",5,0
"1931:TheSmilingLieutenant",6,0.004
"1931:TheSmilingLieutenant",7,0
"1931:TheSmilingLieutenant",8,0.002
"1931:TheSmilingLieutenant",9,0
"1931:TheSmilingLieutenant",10,0
"1931:TheSmilingLieutenant",11,0.05
"1931:TheSmilingLieutenant",12,0
"1931:TheSmilingLieutenant",13,0
"1931:TheSmilingLieutenant",14,0
"1931:TheSmilingLieutenant",15,0
"1931:TheSmilingLieutenant",16,0.004
"1931:TheSmilingLieutenant",17,0
"1931:TheSmilingLieutenant",18,0
"1931:TheSmilingLieutenant",19,0
"1931:TheSmilingLieutenant",20,0.222
"1931:TheSmilingLieutenant",21,0
"1931:TheSmilingLieutenant",22,0
"1931:TheSmilingLieutenant",23,0.036
"1931:TheSmilingLieutenant",24,0
"1931:TheSmilingLieutenant",25,0
"1931:TheSmilingLieutenant",26,0.014
"1931:TheSmilingLieutenant",27,0
"1931:TheSmilingLieutenant",28,0
"1931:TheSmilingLieutenant",29,0
"1931:TheSmilingLieutenant",30,0
"1931:TheSmilingLieutenant",31,0
"1931:TheSmilingLieutenant",32,0.025
"1931:TheSmilingLieutenant",33,0
"1931:TheSmilingLieutenant",34,0.034
"1931:TheSmilingLieutenant",35,0
"1931:TheSmilingLieutenant",36,0
"1931:TheSmilingLieutenant",37,0
"1931:TheSmilingLieutenant",38,0.081
"1931:TheSmilingLieutenant",39,0
"1931:TheSmilingLieutenant",40,0
"1931:TheSmilingLieutenant",41,0
"1931:TheSmilingLieutenant",42,0.372
"1931:TheSmilingLieutenant",43,0.006
"1931:TheSmilingLieutenant",44,0
"1931:TheSmilingLieutenant",45,0
"1931:TheSmilingLieutenant",46,0.004
"1931:TheSmilingLieutenant",47,0
"1931:TheSmilingLieutenant",48,0
"1931:TheSmilingLieutenant",49,0.025
"1931:TheSmilingLieutenant",50,0.004
"1932:42ndStreet",1,0
"1932:42ndStreet",2,0
"1932:42ndStreet",3,0
"1932:42ndStreet",4,0.065
"1932:42ndStreet",5,0
"1932:42ndStreet",6,0
"1932:42ndStreet",7,0
"1932:42ndStreet",8,0.022
"1932:42ndStreet",9,0
"1932:42ndStreet",10,0
"1932:42ndStreet",11,0.471
"1932:42ndStreet",12,0
"1932:42ndStreet",13,0
"1932:42ndStreet",14,0
"1932:42ndStreet",15,0
"1932:42ndStreet",16,0
"1932:42ndStreet",17,0
"1932:42ndStreet",18,0
"1932:42ndStreet",19,0.191
"1932:42ndStreet",20,0
"1932:42ndStreet",21,0
"1932:42ndStreet",22,0
"1932:42ndStreet",23,0
"1932:42ndStreet",24,0
"1932:42ndStreet",25,0
"1932:42ndStreet",26,0
"1932:42ndStreet",27,0.003
"1932:42ndStreet",28,0
"1932:42ndStreet",29,0
