"","document","topic","gamma"
"1249","1941:Hold Back the Dawn",49,0.017
"1250","1941:Hold Back the Dawn",50,0.017
"1251","1941:How Green Was My Valley",1,0.017
"1252","1941:How Green Was My Valley",2,0.017
"1253","1941:How Green Was My Valley",3,0.017
"1254","1941:How Green Was My Valley",4,0.017
"1255","1941:How Green Was My Valley",5,0.017
"1256","1941:How Green Was My Valley",6,0.017
"1257","1941:How Green Was My Valley",7,0.017
"1258","1941:How Green Was My Valley",8,0.017
"1259","1941:How Green Was My Valley",9,0.017
"1260","1941:How Green Was My Valley",10,0.017
"1261","1941:How Green Was My Valley",11,0.017
"1262","1941:How Green Was My Valley",12,0.017
"1263","1941:How Green Was My Valley",13,0.017
"1264","1941:How Green Was My Valley",14,0.017
"1265","1941:How Green Was My Valley",15,0.017
"1266","1941:How Green Was My Valley",16,0.017
"1267","1941:How Green Was My Valley",17,0.017
"1268","1941:How Green Was My Valley",18,0.017
"1269","1941:How Green Was My Valley",19,0.017
"1270","1941:How Green Was My Valley",20,0.017
"1271","1941:How Green Was My Valley",21,0.183
"1272","1941:How Green Was My Valley",22,0.017
"1273","1941:How Green Was My Valley",23,0.017
"1274","1941:How Green Was My Valley",24,0.017
"1275","1941:How Green Was My Valley",25,0.017
"1276","1941:How Green Was My Valley",26,0.017
"1277","1941:How Green Was My Valley",27,0.017
"1278","1941:How Green Was My Valley",28,0.017
"1279","1941:How Green Was My Valley",29,0.017
"1280","1941:How Green Was My Valley",30,0.017
"1281","1941:How Green Was My Valley",31,0.017
"1282","1941:How Green Was My Valley",32,0.017
"1283","1941:How Green Was My Valley",33,0.017
"1284","1941:How Green Was My Valley",34,0.017
"1285","1941:How Green Was My Valley",35,0.017
"1286","1941:How Green Was My Valley",36,0.017
"1287","1941:How Green Was My Valley",37,0.017
"1288","1941:How Green Was My Valley",38,0.017
"1289","1941:How Green Was My Valley",39,0.017
"1290","1941:How Green Was My Valley",40,0.017
"1291","1941:How Green Was My Valley",41,0.017
"1292","1941:How Green Was My Valley",42,0.017
"1293","1941:How Green Was My Valley",43,0.017
"1294","1941:How Green Was My Valley",44,0.017
"1295","1941:How Green Was My Valley",45,0.017
"1296","1941:How Green Was My Valley",46,0.017
"1297","1941:How Green Was My Valley",47,0.017
"1298","1941:How Green Was My Valley",48,0.017
"1299","1941:How Green Was My Valley",49,0.017
"1300","1941:How Green Was My Valley",50,0.017
"1301","1941:One Foot in Heaven",1,0.017
"1302","1941:One Foot in Heaven",2,0.017
"1303","1941:One Foot in Heaven",3,0.017
"1304","1941:One Foot in Heaven",4,0.017
"1305","1941:One Foot in Heaven",5,0.017
"1306","1941:One Foot in Heaven",6,0.017
"1307","1941:One Foot in Heaven",7,0.017
"1308","1941:One Foot in Heaven",8,0.017
"1309","1941:One Foot in Heaven",9,0.017
"1310","1941:One Foot in Heaven",10,0.017
"1311","1941:One Foot in Heaven",11,0.017
"1312","1941:One Foot in Heaven",12,0.017
"1313","1941:One Foot in Heaven",13,0.017
"1314","1941:One Foot in Heaven",14,0.017
"1315","1941:One Foot in Heaven",15,0.017
"1316","1941:One Foot in Heaven",16,0.017
"1317","1941:One Foot in Heaven",17,0.017
"1318","1941:One Foot in Heaven",18,0.183
"1319","1941:One Foot in Heaven",19,0.017
"1320","1941:One Foot in Heaven",20,0.017
"1321","1941:One Foot in Heaven",21,0.017
"1322","1941:One Foot in Heaven",22,0.017
"1323","1941:One Foot in Heaven",23,0.017
"1324","1941:One Foot in Heaven",24,0.017
"1325","1941:One Foot in Heaven",25,0.017
"1326","1941:One Foot in Heaven",26,0.017
"1327","1941:One Foot in Heaven",27,0.017
"1328","1941:One Foot in Heaven",28,0.017
"1329","1941:One Foot in Heaven",29,0.017
"1330","1941:One Foot in Heaven",30,0.017
"1331","1941:One Foot in Heaven",31,0.017
"1332","1941:One Foot in Heaven",32,0.017
"1333","1941:One Foot in Heaven",33,0.017
"1334","1941:One Foot in Heaven",34,0.017
"1335","1941:One Foot in Heaven",35,0.017
"1336","1941:One Foot in Heaven",36,0.017
"1337","1941:One Foot in Heaven",37,0.017
"1338","1941:One Foot in Heaven",38,0.017
"1339","1941:One Foot in Heaven",39,0.017
"1340","1941:One Foot in Heaven",40,0.017
"1341","1941:One Foot in Heaven",41,0.017
"1342","1941:One Foot in Heaven",42,0.017
"1343","1941:One Foot in Heaven",43,0.017
"1344","1941:One Foot in Heaven",44,0.017
"1345","1941:One Foot in Heaven",45,0.017
"1346","1941:One Foot in Heaven",46,0.017
"1347","1941:One Foot in Heaven",47,0.017
"1348","1941:One Foot in Heaven",48,0.017
"1349","1941:One Foot in Heaven",49,0.017
"1350","1941:One Foot in Heaven",50,0.017
"1351","1941:Sergeant York",1,0.048
"1352","1941:Sergeant York",2,0
"1353","1941:Sergeant York",3,0
"1354","1941:Sergeant York",4,0
"1355","1941:Sergeant York",5,0
"1356","1941:Sergeant York",6,0
"1357","1941:Sergeant York",7,0
"1358","1941:Sergeant York",8,0
"1359","1941:Sergeant York",9,0.004
"1360","1941:Sergeant York",10,0
"1361","1941:Sergeant York",11,0
"1362","1941:Sergeant York",12,0
"1363","1941:Sergeant York",13,0
"1364","1941:Sergeant York",14,0
"1365","1941:Sergeant York",15,0
"1366","1941:Sergeant York",16,0.22
"1367","1941:Sergeant York",17,0.041
"1368","1941:Sergeant York",18,0.009
"1369","1941:Sergeant York",19,0
"1370","1941:Sergeant York",20,0.108
"1371","1941:Sergeant York",21,0
"1372","1941:Sergeant York",22,0.089
"1373","1941:Sergeant York",23,0
"1374","1941:Sergeant York",24,0
"1375","1941:Sergeant York",25,0
"1376","1941:Sergeant York",26,0
"1377","1941:Sergeant York",27,0.22
"1378","1941:Sergeant York",28,0.001
"1379","1941:Sergeant York",29,0.057
"1380","1941:Sergeant York",30,0
"1381","1941:Sergeant York",31,0.001
"1382","1941:Sergeant York",32,0.001
"1383","1941:Sergeant York",33,0.003
"1384","1941:Sergeant York",34,0.001
"1385","1941:Sergeant York",35,0.001
"1386","1941:Sergeant York",36,0.024
"1387","1941:Sergeant York",37,0
"1388","1941:Sergeant York",38,0
"1389","1941:Sergeant York",39,0
"1390","1941:Sergeant York",40,0.015
"1391","1941:Sergeant York",41,0.031
"1392","1941:Sergeant York",42,0.006
"1393","1941:Sergeant York",43,0.001
"1394","1941:Sergeant York",44,0
"1395","1941:Sergeant York",45,0
"1396","1941:Sergeant York",46,0
"1397","1941:Sergeant York",47,0.022
"1398","1941:Sergeant York",48,0.022
"1399","1941:Sergeant York",49,0
"1400","1941:Sergeant York",50,0.07
"1401","1941:Suspicion",1,0.001
"1402","1941:Suspicion",2,0.001
"1403","1941:Suspicion",3,0.001
"1404","1941:Suspicion",4,0.001
"1405","1941:Suspicion",5,0.001
"1406","1941:Suspicion",6,0.028
"1407","1941:Suspicion",7,0.001
"1408","1941:Suspicion",8,0.001
"1409","1941:Suspicion",9,0.001
"1410","1941:Suspicion",10,0.001
"1411","1941:Suspicion",11,0.001
"1412","1941:Suspicion",12,0.028
"1413","1941:Suspicion",13,0.001
"1414","1941:Suspicion",14,0.001
"1415","1941:Suspicion",15,0.188
"1416","1941:Suspicion",16,0.001
"1417","1941:Suspicion",17,0.001
"1418","1941:Suspicion",18,0.001
"1419","1941:Suspicion",19,0.001
"1420","1941:Suspicion",20,0.001
"1421","1941:Suspicion",21,0.001
"1422","1941:Suspicion",22,0.001
"1423","1941:Suspicion",23,0.181
"1424","1941:Suspicion",24,0.063
"1425","1941:Suspicion",25,0.001
"1426","1941:Suspicion",26,0.001
"1427","1941:Suspicion",27,0.001
"1428","1941:Suspicion",28,0.001
"1429","1941:Suspicion",29,0.001
"1430","1941:Suspicion",30,0.001
"1431","1941:Suspicion",31,0.001
"1432","1941:Suspicion",32,0.001
"1433","1941:Suspicion",33,0.001
"1434","1941:Suspicion",34,0.001
"1435","1941:Suspicion",35,0.001
"1436","1941:Suspicion",36,0.001
"1437","1941:Suspicion",37,0.056
"1438","1941:Suspicion",38,0.001
"1439","1941:Suspicion",39,0.001
"1440","1941:Suspicion",40,0.001
"1441","1941:Suspicion",41,0.07
"1442","1941:Suspicion",42,0.001
"1443","1941:Suspicion",43,0.001
"1444","1941:Suspicion",44,0.098
"1445","1941:Suspicion",45,0.001
"1446","1941:Suspicion",46,0.244
"1447","1941:Suspicion",47,0.001
"1448","1941:Suspicion",48,0.015
"1449","1941:Suspicion",49,0.001
"1450","1941:Suspicion",50,0.001
"1451","1941:The Little Foxes",1,0.017
"1452","1941:The Little Foxes",2,0.017
"1453","1941:The Little Foxes",3,0.017
"1454","1941:The Little Foxes",4,0.017
"1455","1941:The Little Foxes",5,0.017
"1456","1941:The Little Foxes",6,0.017
"1457","1941:The Little Foxes",7,0.017
"1458","1941:The Little Foxes",8,0.017
"1459","1941:The Little Foxes",9,0.017
"1460","1941:The Little Foxes",10,0.017
"1461","1941:The Little Foxes",11,0.017
"1462","1941:The Little Foxes",12,0.017
"1463","1941:The Little Foxes",13,0.017
"1464","1941:The Little Foxes",14,0.017
"1465","1941:The Little Foxes",15,0.017
"1466","1941:The Little Foxes",16,0.017
"1467","1941:The Little Foxes",17,0.017
"1468","1941:The Little Foxes",18,0.017
"1469","1941:The Little Foxes",19,0.017
"1470","1941:The Little Foxes",20,0.017
"1471","1941:The Little Foxes",21,0.183
"1472","1941:The Little Foxes",22,0.017
"1473","1941:The Little Foxes",23,0.017
"1474","1941:The Little Foxes",24,0.017
"1475","1941:The Little Foxes",25,0.017
"1476","1941:The Little Foxes",26,0.017
"1477","1941:The Little Foxes",27,0.017
"1478","1941:The Little Foxes",28,0.017
"1479","1941:The Little Foxes",29,0.017
"1480","1941:The Little Foxes",30,0.017
"1481","1941:The Little Foxes",31,0.017
"1482","1941:The Little Foxes",32,0.017
"1483","1941:The Little Foxes",33,0.017
"1484","1941:The Little Foxes",34,0.017
"1485","1941:The Little Foxes",35,0.017
"1486","1941:The Little Foxes",36,0.017
"1487","1941:The Little Foxes",37,0.017
"1488","1941:The Little Foxes",38,0.017
"1489","1941:The Little Foxes",39,0.017
"1490","1941:The Little Foxes",40,0.017
"1491","1941:The Little Foxes",41,0.017
"1492","1941:The Little Foxes",42,0.017
"1493","1941:The Little Foxes",43,0.017
"1494","1941:The Little Foxes",44,0.017
"1495","1941:The Little Foxes",45,0.017
"1496","1941:The Little Foxes",46,0.017
"1497","1941:The Little Foxes",47,0.017
"1498","1941:The Little Foxes",48,0.017
"1499","1941:The Little Foxes",49,0.017
"1500","1941:The Little Foxes",50,0.017
"1501","1941:The Maltese Falcon",1,0
"1502","1941:The Maltese Falcon",2,0.023
"1503","1941:The Maltese Falcon",3,0.128
"1504","1941:The Maltese Falcon",4,0
"1505","1941:The Maltese Falcon",5,0
"1506","1941:The Maltese Falcon",6,0.01
"1507","1941:The Maltese Falcon",7,0
"1508","1941:The Maltese Falcon",8,0
"1509","1941:The Maltese Falcon",9,0.003
"1510","1941:The Maltese Falcon",10,0.008
"1511","1941:The Maltese Falcon",11,0.005
"1512","1941:The Maltese Falcon",12,0
"1513","1941:The Maltese Falcon",13,0
"1514","1941:The Maltese Falcon",14,0
"1515","1941:The Maltese Falcon",15,0.115
"1516","1941:The Maltese Falcon",16,0.003
"1517","1941:The Maltese Falcon",17,0.003
"1518","1941:The Maltese Falcon",18,0
"1519","1941:The Maltese Falcon",19,0.026
"1520","1941:The Maltese Falcon",20,0
"1521","1941:The Maltese Falcon",21,0
"1522","1941:The Maltese Falcon",22,0.1
"1523","1941:The Maltese Falcon",23,0.003
"1524","1941:The Maltese Falcon",24,0.084
"1525","1941:The Maltese Falcon",25,0
"1526","1941:The Maltese Falcon",26,0
"1527","1941:The Maltese Falcon",27,0.049
"1528","1941:The Maltese Falcon",28,0
"1529","1941:The Maltese Falcon",29,0.008
"1530","1941:The Maltese Falcon",30,0.013
"1531","1941:The Maltese Falcon",31,0
"1532","1941:The Maltese Falcon",32,0
"1533","1941:The Maltese Falcon",33,0
"1534","1941:The Maltese Falcon",34,0
"1535","1941:The Maltese Falcon",35,0
"1536","1941:The Maltese Falcon",36,0.039
"1537","1941:The Maltese Falcon",37,0
"1538","1941:The Maltese Falcon",38,0
"1539","1941:The Maltese Falcon",39,0
"1540","1941:The Maltese Falcon",40,0.207
"1541","1941:The Maltese Falcon",41,0
"1542","1941:The Maltese Falcon",42,0
"1543","1941:The Maltese Falcon",43,0
"1544","1941:The Maltese Falcon",44,0.141
"1545","1941:The Maltese Falcon",45,0
"1546","1941:The Maltese Falcon",46,0
"1547","1941:The Maltese Falcon",47,0.026
"1548","1941:The Maltese Falcon",48,0
"1549","1941:The Maltese Falcon",49,0
"1550","1941:The Maltese Falcon",50,0
"1551","1942:Casablanca",1,0
"1552","1942:Casablanca",2,0
"1553","1942:Casablanca",3,0.016
"1554","1942:Casablanca",4,0
"1555","1942:Casablanca",5,0
"1556","1942:Casablanca",6,0.064
"1557","1942:Casablanca",7,0
"1558","1942:Casablanca",8,0
"1559","1942:Casablanca",9,0
"1560","1942:Casablanca",10,0.192
"1561","1942:Casablanca",11,0
"1562","1942:Casablanca",12,0
"1563","1942:Casablanca",13,0
"1564","1942:Casablanca",14,0.14
"1565","1942:Casablanca",15,0
"1566","1942:Casablanca",16,0.004
"1567","1942:Casablanca",17,0
"1568","1942:Casablanca",18,0
"1569","1942:Casablanca",19,0.004
"1570","1942:Casablanca",20,0.259
"1571","1942:Casablanca",21,0
"1572","1942:Casablanca",22,0.04
"1573","1942:Casablanca",23,0
"1574","1942:Casablanca",24,0
"1575","1942:Casablanca",25,0
"1576","1942:Casablanca",26,0.004
"1577","1942:Casablanca",27,0.02
"1578","1942:Casablanca",28,0
"1579","1942:Casablanca",29,0.052
"1580","1942:Casablanca",30,0.06
"1581","1942:Casablanca",31,0.004
"1582","1942:Casablanca",32,0.004
"1583","1942:Casablanca",33,0
"1584","1942:Casablanca",34,0
"1585","1942:Casablanca",35,0
"1586","1942:Casablanca",36,0
"1587","1942:Casablanca",37,0
"1588","1942:Casablanca",38,0
"1589","1942:Casablanca",39,0.032
"1590","1942:Casablanca",40,0
"1591","1942:Casablanca",41,0.088
"1592","1942:Casablanca",42,0
"1593","1942:Casablanca",43,0
"1594","1942:Casablanca",44,0
"1595","1942:Casablanca",45,0
"1596","1942:Casablanca",46,0
"1597","1942:Casablanca",47,0
"1598","1942:Casablanca",48,0
"1599","1942:Casablanca",49,0
"1600","1942:Casablanca",50,0
"1601","1942:In Which We Serve",1,0.017
"1602","1942:In Which We Serve",2,0.017
"1603","1942:In Which We Serve",3,0.017
"1604","1942:In Which We Serve",4,0.017
"1605","1942:In Which We Serve",5,0.017
"1606","1942:In Which We Serve",6,0.017
"1607","1942:In Which We Serve",7,0.017
"1608","1942:In Which We Serve",8,0.183
"1609","1942:In Which We Serve",9,0.017
"1610","1942:In Which We Serve",10,0.017
"1611","1942:In Which We Serve",11,0.017
"1612","1942:In Which We Serve",12,0.017
"1613","1942:In Which We Serve",13,0.017
"1614","1942:In Which We Serve",14,0.017
"1615","1942:In Which We Serve",15,0.017
"1616","1942:In Which We Serve",16,0.017
"1617","1942:In Which We Serve",17,0.017
"1618","1942:In Which We Serve",18,0.017
"1619","1942:In Which We Serve",19,0.017
"1620","1942:In Which We Serve",20,0.017
"1621","1942:In Which We Serve",21,0.017
"1622","1942:In Which We Serve",22,0.017
"1623","1942:In Which We Serve",23,0.017
"1624","1942:In Which We Serve",24,0.017
"1625","1942:In Which We Serve",25,0.017
"1626","1942:In Which We Serve",26,0.017
"1627","1942:In Which We Serve",27,0.017
"1628","1942:In Which We Serve",28,0.017
"1629","1942:In Which We Serve",29,0.017
"1630","1942:In Which We Serve",30,0.017
"1631","1942:In Which We Serve",31,0.017
"1632","1942:In Which We Serve",32,0.017
"1633","1942:In Which We Serve",33,0.017
"1634","1942:In Which We Serve",34,0.017
"1635","1942:In Which We Serve",35,0.017
"1636","1942:In Which We Serve",36,0.017
"1637","1942:In Which We Serve",37,0.017
"1638","1942:In Which We Serve",38,0.017
"1639","1942:In Which We Serve",39,0.017
"1640","1942:In Which We Serve",40,0.017
"1641","1942:In Which We Serve",41,0.017
"1642","1942:In Which We Serve",42,0.017
"1643","1942:In Which We Serve",43,0.017
"1644","1942:In Which We Serve",44,0.017
"1645","1942:In Which We Serve",45,0.017
"1646","1942:In Which We Serve",46,0.017
"1647","1942:In Which We Serve",47,0.017
"1648","1942:In Which We Serve",48,0.017
"1649","1942:In Which We Serve",49,0.017
"1650","1942:In Which We Serve",50,0.017
"1651","1942:Kings Row",1,0
"1652","1942:Kings Row",2,0.207
"1653","1942:Kings Row",3,0
"1654","1942:Kings Row",4,0
"1655","1942:Kings Row",5,0
"1656","1942:Kings Row",6,0.123
"1657","1942:Kings Row",7,0.002
"1658","1942:Kings Row",8,0
"1659","1942:Kings Row",9,0
"1660","1942:Kings Row",10,0
"1661","1942:Kings Row",11,0
"1662","1942:Kings Row",12,0
"1663","1942:Kings Row",13,0
"1664","1942:Kings Row",14,0
"1665","1942:Kings Row",15,0.066
"1666","1942:Kings Row",16,0
"1667","1942:Kings Row",17,0
"1668","1942:Kings Row",18,0
"1669","1942:Kings Row",19,0.015
"1670","1942:Kings Row",20,0
"1671","1942:Kings Row",21,0
"1672","1942:Kings Row",22,0.154
"1673","1942:Kings Row",23,0
"1674","1942:Kings Row",24,0
"1675","1942:Kings Row",25,0
"1676","1942:Kings Row",26,0.055
"1677","1942:Kings Row",27,0.004
"1678","1942:Kings Row",28,0
"1679","1942:Kings Row",29,0
"1680","1942:Kings Row",30,0.04
"1681","1942:Kings Row",31,0
"1682","1942:Kings Row",32,0.057
"1683","1942:Kings Row",33,0
"1684","1942:Kings Row",34,0.169
"1685","1942:Kings Row",35,0
"1686","1942:Kings Row",36,0
"1687","1942:Kings Row",37,0.047
"1688","1942:Kings Row",38,0
"1689","1942:Kings Row",39,0
"1690","1942:Kings Row",40,0
"1691","1942:Kings Row",41,0.053
"1692","1942:Kings Row",42,0
"1693","1942:Kings Row",43,0
"1694","1942:Kings Row",44,0
"1695","1942:Kings Row",45,0
"1696","1942:Kings Row",46,0
"1697","1942:Kings Row",47,0
"1698","1942:Kings Row",48,0
"1699","1942:Kings Row",49,0
"1700","1942:Kings Row",50,0
"1701","1942:Mrs. Miniver",1,0
"1702","1942:Mrs. Miniver",2,0
"1703","1942:Mrs. Miniver",3,0.004
"1704","1942:Mrs. Miniver",4,0
"1705","1942:Mrs. Miniver",5,0
"1706","1942:Mrs. Miniver",6,0.015
"1707","1942:Mrs. Miniver",7,0.025
"1708","1942:Mrs. Miniver",8,0
"1709","1942:Mrs. Miniver",9,0
"1710","1942:Mrs. Miniver",10,0
"1711","1942:Mrs. Miniver",11,0
"1712","1942:Mrs. Miniver",12,0.007
"1713","1942:Mrs. Miniver",13,0
"1714","1942:Mrs. Miniver",14,0.032
"1715","1942:Mrs. Miniver",15,0
"1716","1942:Mrs. Miniver",16,0.018
"1717","1942:Mrs. Miniver",17,0.022
"1718","1942:Mrs. Miniver",18,0.007
"1719","1942:Mrs. Miniver",19,0.036
"1720","1942:Mrs. Miniver",20,0.011
"1721","1942:Mrs. Miniver",21,0
"1722","1942:Mrs. Miniver",22,0
"1723","1942:Mrs. Miniver",23,0.011
"1724","1942:Mrs. Miniver",24,0
"1725","1942:Mrs. Miniver",25,0
"1726","1942:Mrs. Miniver",26,0.004
"1727","1942:Mrs. Miniver",27,0
"1728","1942:Mrs. Miniver",28,0
"1729","1942:Mrs. Miniver",29,0.139
"1730","1942:Mrs. Miniver",30,0.004
"1731","1942:Mrs. Miniver",31,0.039
"1732","1942:Mrs. Miniver",32,0
"1733","1942:Mrs. Miniver",33,0.007
"1734","1942:Mrs. Miniver",34,0.163
"1735","1942:Mrs. Miniver",35,0
"1736","1942:Mrs. Miniver",36,0
"1737","1942:Mrs. Miniver",37,0.015
"1738","1942:Mrs. Miniver",38,0
"1739","1942:Mrs. Miniver",39,0
"1740","1942:Mrs. Miniver",40,0
"1741","1942:Mrs. Miniver",41,0
"1742","1942:Mrs. Miniver",42,0.16
"1743","1942:Mrs. Miniver",43,0
"1744","1942:Mrs. Miniver",44,0
"1745","1942:Mrs. Miniver",45,0.007
"1746","1942:Mrs. Miniver",46,0.178
"1747","1942:Mrs. Miniver",47,0
"1748","1942:Mrs. Miniver",48,0
"1749","1942:Mrs. Miniver",49,0
"1750","1942:Mrs. Miniver",50,0.085
"1751","1942:Random Harvest",1,0.001
"1752","1942:Random Harvest",2,0.001
"1753","1942:Random Harvest",3,0.001
"1754","1942:Random Harvest",4,0.001
"1755","1942:Random Harvest",5,0.017
"1756","1942:Random Harvest",6,0.152
"1757","1942:Random Harvest",7,0.001
"1758","1942:Random Harvest",8,0.001
"1759","1942:Random Harvest",9,0.001
"1760","1942:Random Harvest",10,0.056
"1761","1942:Random Harvest",11,0.001
"1762","1942:Random Harvest",12,0.001
"1763","1942:Random Harvest",13,0.001
"1764","1942:Random Harvest",14,0.001
"1765","1942:Random Harvest",15,0.009
"1766","1942:Random Harvest",16,0.001
"1767","1942:Random Harvest",17,0.009
"1768","1942:Random Harvest",18,0.001
"1769","1942:Random Harvest",19,0.16
"1770","1942:Random Harvest",20,0.001
"1771","1942:Random Harvest",21,0.001
"1772","1942:Random Harvest",22,0.001
"1773","1942:Random Harvest",23,0.001
"1774","1942:Random Harvest",24,0.001
"1775","1942:Random Harvest",25,0.001
"1776","1942:Random Harvest",26,0.017
"1777","1942:Random Harvest",27,0.001
"1778","1942:Random Harvest",28,0.001
"1779","1942:Random Harvest",29,0.001
"1780","1942:Random Harvest",30,0.001
"1781","1942:Random Harvest",31,0.017
"1782","1942:Random Harvest",32,0.001
"1783","1942:Random Harvest",33,0.001
"1784","1942:Random Harvest",34,0.088
"1785","1942:Random Harvest",35,0.025
"1786","1942:Random Harvest",36,0.001
"1787","1942:Random Harvest",37,0.001
"1788","1942:Random Harvest",38,0.001
"1789","1942:Random Harvest",39,0.001
"1790","1942:Random Harvest",40,0.072
"1791","1942:Random Harvest",41,0.001
"1792","1942:Random Harvest",42,0.001
"1793","1942:Random Harvest",43,0.001
"1794","1942:Random Harvest",44,0.001
"1795","1942:Random Harvest",45,0.152
"1796","1942:Random Harvest",46,0.001
"1797","1942:Random Harvest",47,0.001
"1798","1942:Random Harvest",48,0.199
"1799","1942:Random Harvest",49,0.001
"1800","1942:Random Harvest",50,0.001
"1801","1942:The Magnificent Ambersons",1,0.017
"1802","1942:The Magnificent Ambersons",2,0.017
"1803","1942:The Magnificent Ambersons",3,0.017
"1804","1942:The Magnificent Ambersons",4,0.017
"1805","1942:The Magnificent Ambersons",5,0.017
"1806","1942:The Magnificent Ambersons",6,0.017
"1807","1942:The Magnificent Ambersons",7,0.017
"1808","1942:The Magnificent Ambersons",8,0.183
"1809","1942:The Magnificent Ambersons",9,0.017
"1810","1942:The Magnificent Ambersons",10,0.017
"1811","1942:The Magnificent Ambersons",11,0.017
"1812","1942:The Magnificent Ambersons",12,0.017
"1813","1942:The Magnificent Ambersons",13,0.017
"1814","1942:The Magnificent Ambersons",14,0.017
"1815","1942:The Magnificent Ambersons",15,0.017
"1816","1942:The Magnificent Ambersons",16,0.017
"1817","1942:The Magnificent Ambersons",17,0.017
"1818","1942:The Magnificent Ambersons",18,0.017
"1819","1942:The Magnificent Ambersons",19,0.017
"1820","1942:The Magnificent Ambersons",20,0.017
"1821","1942:The Magnificent Ambersons",21,0.017
"1822","1942:The Magnificent Ambersons",22,0.017
"1823","1942:The Magnificent Ambersons",23,0.017
"1824","1942:The Magnificent Ambersons",24,0.017
"1825","1942:The Magnificent Ambersons",25,0.017
"1826","1942:The Magnificent Ambersons",26,0.017
"1827","1942:The Magnificent Ambersons",27,0.017
"1828","1942:The Magnificent Ambersons",28,0.017
"1829","1942:The Magnificent Ambersons",29,0.017
"1830","1942:The Magnificent Ambersons",30,0.017
"1831","1942:The Magnificent Ambersons",31,0.017
"1832","1942:The Magnificent Ambersons",32,0.017
"1833","1942:The Magnificent Ambersons",33,0.017
"1834","1942:The Magnificent Ambersons",34,0.017
"1835","1942:The Magnificent Ambersons",35,0.017
"1836","1942:The Magnificent Ambersons",36,0.017
"1837","1942:The Magnificent Ambersons",37,0.017
"1838","1942:The Magnificent Ambersons",38,0.017
"1839","1942:The Magnificent Ambersons",39,0.017
"1840","1942:The Magnificent Ambersons",40,0.017
"1841","1942:The Magnificent Ambersons",41,0.017
"1842","1942:The Magnificent Ambersons",42,0.017
"1843","1942:The Magnificent Ambersons",43,0.017
"1844","1942:The Magnificent Ambersons",44,0.017
"1845","1942:The Magnificent Ambersons",45,0.017
"1846","1942:The Magnificent Ambersons",46,0.017
"1847","1942:The Magnificent Ambersons",47,0.017
"1848","1942:The Magnificent Ambersons",48,0.017
"1849","1942:The Magnificent Ambersons",49,0.017
"1850","1942:The Magnificent Ambersons",50,0.017
"1851","1942:The Ox-Bow Incident",1,0
"1852","1942:The Ox-Bow Incident",2,0
"1853","1942:The Ox-Bow Incident",3,0
"1854","1942:The Ox-Bow Incident",4,0
"1855","1942:The Ox-Bow Incident",5,0
"1856","1942:The Ox-Bow Incident",6,0.015
"1857","1942:The Ox-Bow Incident",7,0.015
"1858","1942:The Ox-Bow Incident",8,0
"1859","1942:The Ox-Bow Incident",9,0
"1860","1942:The Ox-Bow Incident",10,0.048
"1861","1942:The Ox-Bow Incident",11,0.057
"1862","1942:The Ox-Bow Incident",12,0.052
"1863","1942:The Ox-Bow Incident",13,0
"1864","1942:The Ox-Bow Incident",14,0
"1865","1942:The Ox-Bow Incident",15,0.019
"1866","1942:The Ox-Bow Incident",16,0
"1867","1942:The Ox-Bow Incident",17,0.067
"1868","1942:The Ox-Bow Incident",18,0.015
"1869","1942:The Ox-Bow Incident",19,0.128
"1870","1942:The Ox-Bow Incident",20,0
"1871","1942:The Ox-Bow Incident",21,0
"1872","1942:The Ox-Bow Incident",22,0
"1873","1942:The Ox-Bow Incident",23,0
"1874","1942:The Ox-Bow Incident",24,0
"1875","1942:The Ox-Bow Incident",25,0
"1876","1942:The Ox-Bow Incident",26,0.043
"1877","1942:The Ox-Bow Incident",27,0.184
"1878","1942:The Ox-Bow Incident",28,0.076
"1879","1942:The Ox-Bow Incident",29,0
"1880","1942:The Ox-Bow Incident",30,0
"1881","1942:The Ox-Bow Incident",31,0
"1882","1942:The Ox-Bow Incident",32,0
"1883","1942:The Ox-Bow Incident",33,0
"1884","1942:The Ox-Bow Incident",34,0
"1885","1942:The Ox-Bow Incident",35,0
"1886","1942:The Ox-Bow Incident",36,0
"1887","1942:The Ox-Bow Incident",37,0
"1888","1942:The Ox-Bow Incident",38,0
"1889","1942:The Ox-Bow Incident",39,0
"1890","1942:The Ox-Bow Incident",40,0
"1891","1942:The Ox-Bow Incident",41,0.123
"1892","1942:The Ox-Bow Incident",42,0
"1893","1942:The Ox-Bow Incident",43,0
"1894","1942:The Ox-Bow Incident",44,0.024
"1895","1942:The Ox-Bow Incident",45,0.067
"1896","1942:The Ox-Bow Incident",46,0.01
"1897","1942:The Ox-Bow Incident",47,0
"1898","1942:The Ox-Bow Incident",48,0.029
"1899","1942:The Ox-Bow Incident",49,0
"1900","1942:The Ox-Bow Incident",50,0.015
"1901","1942:The Pied Piper",1,0.017
"1902","1942:The Pied Piper",2,0.017
"1903","1942:The Pied Piper",3,0.017
"1904","1942:The Pied Piper",4,0.017
"1905","1942:The Pied Piper",5,0.017
"1906","1942:The Pied Piper",6,0.017
"1907","1942:The Pied Piper",7,0.017
"1908","1942:The Pied Piper",8,0.017
"1909","1942:The Pied Piper",9,0.017
"1910","1942:The Pied Piper",10,0.017
"1911","1942:The Pied Piper",11,0.017
"1912","1942:The Pied Piper",12,0.017
