"","document","topic","gamma"
"138","1939:Goodbye, Mr. Chips",38,0
"139","1939:Goodbye, Mr. Chips",39,0.01
"140","1939:Goodbye, Mr. Chips",40,0
"141","1939:Goodbye, Mr. Chips",41,0.005
"142","1939:Goodbye, Mr. Chips",42,0
"143","1939:Goodbye, Mr. Chips",43,0.03
"144","1939:Goodbye, Mr. Chips",44,0
"145","1939:Goodbye, Mr. Chips",45,0
"146","1939:Goodbye, Mr. Chips",46,0
"147","1939:Goodbye, Mr. Chips",47,0
"148","1939:Goodbye, Mr. Chips",48,0.015
"149","1939:Goodbye, Mr. Chips",49,0
"150","1939:Goodbye, Mr. Chips",50,0.01
"151","1939:Love Affair",1,0.017
"152","1939:Love Affair",2,0.017
"153","1939:Love Affair",3,0.017
"154","1939:Love Affair",4,0.017
"155","1939:Love Affair",5,0.017
"156","1939:Love Affair",6,0.017
"157","1939:Love Affair",7,0.017
"158","1939:Love Affair",8,0.017
"159","1939:Love Affair",9,0.017
"160","1939:Love Affair",10,0.017
"161","1939:Love Affair",11,0.017
"162","1939:Love Affair",12,0.017
"163","1939:Love Affair",13,0.017
"164","1939:Love Affair",14,0.017
"165","1939:Love Affair",15,0.017
"166","1939:Love Affair",16,0.017
"167","1939:Love Affair",17,0.017
"168","1939:Love Affair",18,0.017
"169","1939:Love Affair",19,0.017
"170","1939:Love Affair",20,0.017
"171","1939:Love Affair",21,0.183
"172","1939:Love Affair",22,0.017
"173","1939:Love Affair",23,0.017
"174","1939:Love Affair",24,0.017
"175","1939:Love Affair",25,0.017
"176","1939:Love Affair",26,0.017
"177","1939:Love Affair",27,0.017
"178","1939:Love Affair",28,0.017
"179","1939:Love Affair",29,0.017
"180","1939:Love Affair",30,0.017
"181","1939:Love Affair",31,0.017
"182","1939:Love Affair",32,0.017
"183","1939:Love Affair",33,0.017
"184","1939:Love Affair",34,0.017
"185","1939:Love Affair",35,0.017
"186","1939:Love Affair",36,0.017
"187","1939:Love Affair",37,0.017
"188","1939:Love Affair",38,0.017
"189","1939:Love Affair",39,0.017
"190","1939:Love Affair",40,0.017
"191","1939:Love Affair",41,0.017
"192","1939:Love Affair",42,0.017
"193","1939:Love Affair",43,0.017
"194","1939:Love Affair",44,0.017
"195","1939:Love Affair",45,0.017
"196","1939:Love Affair",46,0.017
"197","1939:Love Affair",47,0.017
"198","1939:Love Affair",48,0.017
"199","1939:Love Affair",49,0.017
"200","1939:Love Affair",50,0.017
"201","1939:Mr. Smith Goes to Washington",1,0.063
"202","1939:Mr. Smith Goes to Washington",2,0.001
"203","1939:Mr. Smith Goes to Washington",3,0.001
"204","1939:Mr. Smith Goes to Washington",4,0.001
"205","1939:Mr. Smith Goes to Washington",5,0.001
"206","1939:Mr. Smith Goes to Washington",6,0.007
"207","1939:Mr. Smith Goes to Washington",7,0.113
"208","1939:Mr. Smith Goes to Washington",8,0.051
"209","1939:Mr. Smith Goes to Washington",9,0.001
"210","1939:Mr. Smith Goes to Washington",10,0.001
"211","1939:Mr. Smith Goes to Washington",11,0.001
"212","1939:Mr. Smith Goes to Washington",12,0.001
"213","1939:Mr. Smith Goes to Washington",13,0.001
"214","1939:Mr. Smith Goes to Washington",14,0.001
"215","1939:Mr. Smith Goes to Washington",15,0.001
"216","1939:Mr. Smith Goes to Washington",16,0.001
"217","1939:Mr. Smith Goes to Washington",17,0.001
"218","1939:Mr. Smith Goes to Washington",18,0.001
"219","1939:Mr. Smith Goes to Washington",19,0.001
"220","1939:Mr. Smith Goes to Washington",20,0.013
"221","1939:Mr. Smith Goes to Washington",21,0.019
"222","1939:Mr. Smith Goes to Washington",22,0.001
"223","1939:Mr. Smith Goes to Washington",23,0.001
"224","1939:Mr. Smith Goes to Washington",24,0.001
"225","1939:Mr. Smith Goes to Washington",25,0.013
"226","1939:Mr. Smith Goes to Washington",26,0.001
"227","1939:Mr. Smith Goes to Washington",27,0.001
"228","1939:Mr. Smith Goes to Washington",28,0.057
"229","1939:Mr. Smith Goes to Washington",29,0.001
"230","1939:Mr. Smith Goes to Washington",30,0.026
"231","1939:Mr. Smith Goes to Washington",31,0.001
"232","1939:Mr. Smith Goes to Washington",32,0.001
"233","1939:Mr. Smith Goes to Washington",33,0.019
"234","1939:Mr. Smith Goes to Washington",34,0.001
"235","1939:Mr. Smith Goes to Washington",35,0.001
"236","1939:Mr. Smith Goes to Washington",36,0.001
"237","1939:Mr. Smith Goes to Washington",37,0.001
"238","1939:Mr. Smith Goes to Washington",38,0.001
"239","1939:Mr. Smith Goes to Washington",39,0.001
"240","1939:Mr. Smith Goes to Washington",40,0.007
"241","1939:Mr. Smith Goes to Washington",41,0.219
"242","1939:Mr. Smith Goes to Washington",42,0.094
"243","1939:Mr. Smith Goes to Washington",43,0.001
"244","1939:Mr. Smith Goes to Washington",44,0.051
"245","1939:Mr. Smith Goes to Washington",45,0.082
"246","1939:Mr. Smith Goes to Washington",46,0.001
"247","1939:Mr. Smith Goes to Washington",47,0.001
"248","1939:Mr. Smith Goes to Washington",48,0.001
"249","1939:Mr. Smith Goes to Washington",49,0.001
"250","1939:Mr. Smith Goes to Washington",50,0.144
"251","1939:Ninotchka",1,0.017
"252","1939:Ninotchka",2,0.017
"253","1939:Ninotchka",3,0.017
"254","1939:Ninotchka",4,0.017
"255","1939:Ninotchka",5,0.017
"256","1939:Ninotchka",6,0.017
"257","1939:Ninotchka",7,0.017
"258","1939:Ninotchka",8,0.017
"259","1939:Ninotchka",9,0.017
"260","1939:Ninotchka",10,0.017
"261","1939:Ninotchka",11,0.017
"262","1939:Ninotchka",12,0.017
"263","1939:Ninotchka",13,0.017
"264","1939:Ninotchka",14,0.017
"265","1939:Ninotchka",15,0.017
"266","1939:Ninotchka",16,0.017
"267","1939:Ninotchka",17,0.017
"268","1939:Ninotchka",18,0.017
"269","1939:Ninotchka",19,0.017
"270","1939:Ninotchka",20,0.017
"271","1939:Ninotchka",21,0.183
"272","1939:Ninotchka",22,0.017
"273","1939:Ninotchka",23,0.017
"274","1939:Ninotchka",24,0.017
"275","1939:Ninotchka",25,0.017
"276","1939:Ninotchka",26,0.017
"277","1939:Ninotchka",27,0.017
"278","1939:Ninotchka",28,0.017
"279","1939:Ninotchka",29,0.017
"280","1939:Ninotchka",30,0.017
"281","1939:Ninotchka",31,0.017
"282","1939:Ninotchka",32,0.017
"283","1939:Ninotchka",33,0.017
"284","1939:Ninotchka",34,0.017
"285","1939:Ninotchka",35,0.017
"286","1939:Ninotchka",36,0.017
"287","1939:Ninotchka",37,0.017
"288","1939:Ninotchka",38,0.017
"289","1939:Ninotchka",39,0.017
"290","1939:Ninotchka",40,0.017
"291","1939:Ninotchka",41,0.017
"292","1939:Ninotchka",42,0.017
"293","1939:Ninotchka",43,0.017
"294","1939:Ninotchka",44,0.017
"295","1939:Ninotchka",45,0.017
"296","1939:Ninotchka",46,0.017
"297","1939:Ninotchka",47,0.017
"298","1939:Ninotchka",48,0.017
"299","1939:Ninotchka",49,0.017
"300","1939:Ninotchka",50,0.017
"301","1939:Of Mice and Men",1,0.001
"302","1939:Of Mice and Men",2,0.009
"303","1939:Of Mice and Men",3,0.001
"304","1939:Of Mice and Men",4,0.001
"305","1939:Of Mice and Men",5,0.001
"306","1939:Of Mice and Men",6,0.001
"307","1939:Of Mice and Men",7,0.001
"308","1939:Of Mice and Men",8,0.001
"309","1939:Of Mice and Men",9,0.001
"310","1939:Of Mice and Men",10,0.035
"311","1939:Of Mice and Men",11,0.001
"312","1939:Of Mice and Men",12,0.001
"313","1939:Of Mice and Men",13,0.001
"314","1939:Of Mice and Men",14,0.001
"315","1939:Of Mice and Men",15,0.001
"316","1939:Of Mice and Men",16,0.001
