"","document","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","...52"
"68","1947:Gentleman's Agreement",0.002,0.063,0.032,0.002,0.002,0.017,0.002,0.002,0.002,0.002,0.002,0.217,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.063,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.063,0.017,0.14,0.002,0.002,0.155,0.017,0.017,0.002,0.063,0.078,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,2
"69","1947:Miracle on 34th Street",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"70","1947:The Bishop's Wife",0,0,0,0,0.011,0.182,0,0,0,0,0,0,0,0,0.179,0,0.055,0.344,0.052,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0.069,0,0,0.004,0,0,0,0.014,0,0,0,0.011,0,0,0.004,0.059,0,12
"71","1948:Hamlet",0,0.132,0,0,0.005,0.005,0.009,0,0,0.124,0,0,0,0,0.037,0.033,0.017,0,0,0,0,0,0,0,0,0.05,0.005,0,0,0.087,0,0.05,0,0,0,0.005,0,0.005,0.005,0,0,0,0,0.107,0,0.177,0.025,0,0.112,0,2
"72","1948:Johnny Belinda",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.021,0.007,0.007,0.001,0.054,0.001,0.001,0.001,0.001,0.001,0.001,0.007,0.001,0.034,0.001,0.1,0.027,0.007,0.047,0.001,0.001,0.087,0.001,0.345,0.001,0.074,0.001,0.001,0.001,0.021,0.001,0.001,0.007,0.113,0.001,0.001,0.021,0.001,0.001,0.001,9
"73","1948:The Red Shoes",0.001,0.001,0.001,0.001,0.001,0.198,0.001,0.001,0.008,0.11,0.001,0.001,0.045,0.001,0.001,0.504,0.008,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.088,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.008,0.001,0.001,0.001,0.001,0.001,0.001,0.001,17
"74","1948:The Snake Pit",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"75","1948:The Treasure of the Sierra Madre",0.001,0.001,0.001,0.001,0.027,0.001,0.001,0.001,0.01,0.378,0.001,0.001,0.001,0.01,0.001,0.001,0.001,0.001,0.018,0.001,0.001,0.018,0.001,0.194,0.018,0.01,0.001,0.001,0.036,0.001,0.001,0.001,0.001,0.001,0.018,0.097,0.001,0.001,0.018,0.001,0.001,0.001,0.001,0.115,0.001,0.001,0.001,0.001,0.001,0.001,8
"76","1949:A Letter to Three Wives",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,2
"77","1949:All the King's Men",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"78","1949:Battleground",0.087,0,0,0,0,0.004,0,0,0,0.004,0,0,0,0,0.139,0,0,0,0,0.192,0,0,0,0,0,0,0.068,0,0.38,0,0,0.004,0,0,0,0,0.012,0,0,0.019,0,0,0.023,0,0.008,0,0,0,0.045,0,5
"79","1949:The Heiress",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"80","1949:Twelve O'Clock High",0.001,0.056,0.019,0.001,0.013,0.001,0.001,0.001,0.001,0.001,0.031,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.062,0.001,0.007,0.025,0.019,0.044,0.001,0.001,0.001,0.32,0.001,0.142,0.001,0.007,0.013,0.001,0.001,0.007,0.001,0.007,0.001,0.001,0.154,0.044,0.001,0.001,0.001,0.001,0.001,0.013,0.001,5
"81","1950:All About Eve",0.004,0.083,0,0,0.004,0.234,0,0.004,0,0.052,0,0,0,0,0.148,0.121,0.004,0,0,0,0.055,0,0,0,0,0.004,0,0.09,0,0.007,0.004,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169,0,17
"82","1950:Born Yesterday",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"83","1950:Father of the Bride",0.064,0.005,0,0,0,0.153,0,0,0,0,0,0.005,0,0.022,0.183,0.005,0.005,0,0.005,0,0,0.123,0.005,0.123,0,0,0,0.212,0,0,0,0,0.005,0.034,0,0,0.009,0.005,0,0,0,0,0.013,0.013,0,0,0,0,0,0,12
"84","1950:King Solomon's Mines",0.001,0.001,0.001,0.001,0.001,0.001,0.099,0.001,0.085,0.224,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.099,0.113,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.022,0.001,0.001,0.099,0.008,0.022,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.05,0.001,0.001,0.078,0.001,0.001,0.001,0.001,0.001,0.078,8
"85","1950:Sunset Blvd.",0,0,0.03,0,0,0.194,0,0.02,0.013,0,0.01,0,0,0,0,0,0,0.013,0,0,0,0,0.096,0,0,0,0.004,0,0,0,0,0.145,0,0,0.004,0,0.007,0.188,0,0.004,0.096,0,0,0,0,0,0,0,0.165,0,17
"86","1951:A Place in the Sun",0,0,0.058,0,0,0.213,0,0,0.035,0,0.018,0,0,0.013,0,0.003,0.356,0,0,0,0,0.008,0.045,0,0,0,0,0,0.02,0,0,0,0.033,0.098,0,0,0,0,0,0.035,0,0,0,0.048,0,0,0,0,0.008,0,17
"87","1951:A Streetcar Named Desire",0.001,0.001,0.001,0.001,0.001,0.089,0.001,0.001,0.001,0.001,0.001,0.037,0.001,0.006,0.001,0.006,0.001,0.001,0.001,0.001,0.001,0.11,0.001,0.001,0.079,0.021,0.001,0.001,0.001,0.016,0.001,0.042,0.001,0.084,0.006,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.094,0.001,0.027,0.001,0.001,0.193,0.172,19
"88","1951:An American in Paris",0.02,0.002,0.002,0.002,0.002,0.359,0.002,0.02,0.002,0.002,0.002,0.002,0.02,0.002,0.002,0.002,0.073,0.127,0.002,0.091,0.002,0.002,0.002,0.002,0.002,0.002,0.055,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.038,0.002,0.055,0.002,0.002,0.002,0.002,0.055,0.002,0.002,0.002,0.002,0.002,0.002,0.02,17
"89","1951:Decision Before Dawn",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"90","1951:Quo Vadis",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"91","1952:High Noon",0,0,0,0.007,0.011,0.046,0,0.007,0,0.025,0,0.014,0.004,0,0,0,0,0.029,0.166,0,0.004,0.071,0.014,0.06,0.06,0,0.127,0.007,0,0,0.007,0,0.233,0,0,0,0,0.007,0,0,0,0,0.004,0,0,0,0,0.074,0.011,0,6
"92","1952:Ivanhoe",0,0.004,0,0,0,0.144,0,0,0,0.25,0.041,0,0,0,0,0,0,0,0.004,0,0,0,0,0.007,0,0.028,0,0,0,0.028,0,0,0,0,0.007,0,0,0,0.072,0,0,0,0,0.028,0.011,0.124,0,0.031,0,0.209,8
"93","1952:Moulin Rouge",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"94","1952:The Greatest Show on Earth",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,16
"95","1952:The Quiet Man",0,0.054,0,0,0,0.133,0.01,0,0,0,0.059,0,0.054,0,0.01,0,0,0,0.099,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.148,0.192,0,0,0,0,0,0,0.02,0,0,0,0,0,0.05,0,0.133,9
"96","1953:From Here to Eternity",0,0.003,0.003,0,0,0.126,0,0,0.055,0.132,0.082,0,0.047,0.03,0,0.006,0.003,0,0.003,0,0,0,0.019,0.003,0,0,0.121,0,0.195,0,0,0.011,0.008,0.019,0,0.003,0.003,0,0,0.115,0,0,0,0,0,0,0,0,0,0.003,5
"97","1953:Julius Caesar",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"98","1953:Roman Holiday",0.152,0.001,0.128,0.001,0.001,0.122,0.001,0.001,0.013,0.031,0.128,0.001,0.001,0.001,0.013,0.025,0.001,0.001,0.001,0.001,0.061,0.031,0.019,0.001,0.001,0.007,0.001,0.001,0.001,0.001,0.001,0.031,0.001,0.019,0.001,0.001,0.001,0.188,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.013,0.001,0.001,2
"99","1953:Shane",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"100","1953:The Robe",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"101","1954:On the Waterfront",0.006,0.374,0.042,0,0.009,0,0.023,0.001,0.004,0,0,0.009,0.01,0,0.117,0,0,0,0,0,0,0.209,0.005,0,0,0,0.106,0,0,0,0.005,0.005,0.009,0,0,0,0,0.005,0,0.027,0,0,0,0,0,0,0.027,0.001,0,0,1
"102","1954:Seven Brides for Seven Brothers",0.001,0.089,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.104,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.023,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.662,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.008,0.001,0.008,0.001,0.001,0.001,0.074,0.001,9
"103","1954:The Caine Mutiny",0.001,0.001,0.199,0.001,0.011,0.001,0.001,0.001,0.001,0.001,0.159,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.011,0.011,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.1,0.001,0.021,0.06,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.011,0.001,0.021,0.021,0.001,0.001,0.338,0.001,0.001,0.001,3
"104","1954:The Country Girl",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"105","1954:Three Coins in the Fountain",0,0.032,0,0.004,0,0.342,0.015,0,0,0,0,0.007,0,0,0.022,0,0,0,0.022,0.207,0,0.032,0,0,0,0,0.007,0,0.004,0,0.004,0,0,0.146,0.018,0,0,0,0,0.093,0,0.007,0,0.004,0,0,0.022,0,0,0,17
"106","1955:Love Is a Many-Splendored Thing",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"107","1955:Marty",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"108","1955:Mister Roberts",0,0,0,0,0,0,0,0.003,0,0,0,0,0,0.008,0,0,0,0.003,0.013,0,0,0.132,0,0,0,0.013,0,0,0.08,0,0.003,0,0,0,0,0,0.003,0,0,0,0.062,0,0.163,0.003,0.055,0,0.45,0,0,0,3
"109","1955:Picnic",0.004,0.004,0.039,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.111,0.004,0.004,0.004,0.004,0.218,0.004,0.039,0.075,0.004,0.004,0.039,0.004,0.004,0.004,0.004,0.004,0.004,0.218,0.004,0.004,0.075,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.039,0.004,21
"110","1955:The Rose Tattoo",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"111","1956:Around the World in 80 Days",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"112","1956:Friendly Persuasion",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"113","1956:Giant",0,0,0,0,0,0.24,0,0,0,0,0,0.073,0,0.035,0,0.026,0,0,0.005,0.005,0.005,0.009,0.043,0,0,0,0.065,0,0,0,0,0,0,0.065,0.009,0,0.069,0,0,0,0,0.005,0.005,0,0.009,0,0,0.086,0,0.235,17
"114","1956:The King and I",0,0.073,0,0,0.006,0.109,0.085,0.003,0.021,0.006,0,0,0,0,0.064,0,0,0.027,0.024,0,0.003,0,0,0,0,0.012,0,0,0,0.277,0.003,0.003,0,0.091,0,0.006,0,0.018,0,0,0.021,0,0,0,0,0.091,0,0,0,0.045,2
"115","1956:The Ten Commandments",0,0,0.015,0,0,0.023,0.029,0.002,0.05,0.215,0.041,0.081,0,0,0,0,0,0,0,0,0,0.002,0,0.011,0,0,0.004,0,0,0,0,0.031,0,0.008,0.006,0,0,0,0,0,0,0.017,0.008,0.004,0,0,0,0.054,0.044,0.349,8
"116","1957:12 Angry Men",0,0,0,0.005,0.01,0,0.026,0.073,0,0.054,0.334,0,0.014,0,0.075,0,0,0,0.003,0,0,0.082,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0.246,0,0,0,0,0.049,0.017,7
"117","1957:Peyton Place",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"118","1957:Sayonara",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"119","1957:The Bridge on the River Kwai",0,0,0,0,0.013,0,0,0,0.09,0.038,0,0,0,0,0,0,0,0.025,0.04,0.143,0.005,0,0.003,0.005,0,0,0.113,0,0.305,0,0.03,0.033,0,0,0.003,0,0,0,0,0,0,0.018,0,0.005,0.008,0.08,0.035,0,0,0,5
"120","1957:Witness for the Prosecution",0.001,0.001,0.001,0.001,0.001,0.001,0.04,0.02,0.001,0.001,0.292,0.001,0.001,0.001,0.001,0.001,0.001,0.011,0.001,0.011,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.156,0.156,0.001,0.001,0.147,0.001,0.05,0.03,0.001,0.001,0.05,7
"121","1958:Auntie Mame",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"122","1958:Cat on a Hot Tin Roof",0,0.113,0,0.008,0.005,0.299,0,0,0,0,0,0.128,0.003,0,0.088,0,0,0,0,0,0,0.005,0.048,0,0.003,0.025,0,0,0,0,0,0.171,0,0,0,0,0,0,0.003,0.015,0,0,0,0,0,0.01,0,0.005,0,0.061,17
"123","1958:Gigi",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"124","1958:Separate Tables",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,2
"125","1958:The Defiant Ones",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"126","1959:Anatomy of a Murder",0.03,0,0.009,0,0,0.142,0.005,0.005,0,0.005,0.241,0,0.018,0.005,0,0.005,0.009,0,0,0,0,0,0.005,0,0.005,0,0,0,0.048,0,0,0.005,0,0,0.073,0,0,0.022,0.013,0,0,0,0.005,0.262,0.056,0,0,0,0.022,0,7
"127","1959:Ben-Hur",0,0.007,0.003,0,0,0.007,0.047,0,0.05,0.355,0.016,0,0,0,0,0,0,0.1,0.01,0,0.007,0.003,0,0,0,0,0,0.01,0,0,0.05,0,0.003,0.097,0.003,0.022,0,0,0,0,0.003,0,0,0,0.025,0,0,0.072,0,0.1,8
"128","1959:Room at the Top",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"129","1959:The Diary of Anne Frank",0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,20
"130","1959:The Nun's Story",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,2
"131","1960:Elmer Gantry",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"132","1960:Sons and Lovers",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"133","1960:The Alamo",0.032,0,0.007,0,0,0,0,0,0,0.217,0.002,0,0,0,0,0.002,0,0,0,0,0.002,0,0,0,0,0,0.113,0,0.328,0.002,0.021,0.05,0,0.057,0,0,0,0,0.005,0.014,0.088,0,0,0,0,0,0.007,0.03,0,0.014,5
"134","1960:The Apartment",0.001,0.038,0.001,0.001,0.006,0.245,0.001,0.001,0.001,0.001,0.001,0.001,0.006,0.001,0.102,0.001,0.011,0.001,0.006,0.001,0.001,0.032,0.006,0.006,0.001,0.001,0.006,0.001,0.032,0.001,0.001,0.08,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.24,0.027,0.001,0.001,0.027,0.001,0.001,0.001,0.001,0.112,0.001,17
"135","1960:The Sundowners",0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,20
"136","1961:Fanny",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"137","1961:Judgment at Nuremberg",0.001,0.001,0.001,0.006,0.001,0.04,0.001,0.006,0.001,0.001,0.441,0.001,0.001,0.001,0.006,0.001,0.001,0.006,0.006,0.136,0.001,0.074,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.006,0.029,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.012,0.142,0.001,0.001,0.001,0.001,0.001,0.001,0.068,0.001,7
"138","1961:The Guns of Navarone",0,0,0,0,0,0,0.005,0,0.034,0.173,0,0,0,0,0,0,0.013,0,0,0.198,0,0,0,0.005,0,0.03,0.135,0,0.08,0,0.072,0.038,0,0.017,0,0,0,0,0,0,0,0,0.089,0,0,0,0.097,0,0,0,8
