"movielink","url_movie","url_synopsis","title","year"
"/title/tt3659388/?ref_=ttls_li_tt","https://www.imdb.com/title/tt3659388/","https://www.imdb.com/title/tt3659388/plotsummary/","The Martian","2015"
"/title/tt1663202/?ref_=ttls_li_tt","https://www.imdb.com/title/tt1663202/","https://www.imdb.com/title/tt1663202/plotsummary/","The Revenant","2015"
"/title/tt3170832/?ref_=ttls_li_tt","https://www.imdb.com/title/tt3170832/","https://www.imdb.com/title/tt3170832/plotsummary/","Room","2015"
"/title/tt2562232/?ref_=ttls_li_tt","https://www.imdb.com/title/tt2562232/","https://www.imdb.com/title/tt2562232/plotsummary/","Birdman or (The Unexpected Virtue of Ignorance)","2014"
"/title/tt2179136/?ref_=ttls_li_tt","https://www.imdb.com/title/tt2179136/","https://www.imdb.com/title/tt2179136/plotsummary/","American Sniper","2014"
"/title/tt1065073/?ref_=ttls_li_tt","https://www.imdb.com/title/tt1065073/","https://www.imdb.com/title/tt1065073/plotsummary/","Boyhood","2014"
"/title/tt2084970/?ref_=ttls_li_tt","https://www.imdb.com/title/tt2084970/","https://www.imdb.com/title/tt2084970/plotsummary/","The Imitation Game","2014"
"/title/tt2278388/?ref_=ttls_li_tt","https://www.imdb.com/title/tt2278388/","https://www.imdb.com/title/tt2278388/plotsummary/","The Grand Budapest Hotel","2014"
"/title/tt1020072/?ref_=ttls_li_tt","https://www.imdb.com/title/tt1020072/","https://www.imdb.com/title/tt1020072/plotsummary/","Selma","2014"
"/title/tt2980516/?ref_=ttls_li_tt","https://www.imdb.com/title/tt2980516/","https://www.imdb.com/title/tt2980516/plotsummary/","The Theory of Everything","2014"
"/title/tt2582802/?ref_=ttls_li_tt","https://www.imdb.com/title/tt2582802/","https://www.imdb.com/title/tt2582802/plotsummary/","Whiplash","2014"
"/title/tt2024544/?ref_=ttls_li_tt","https://www.imdb.com/title/tt2024544/","https://www.imdb.com/title/tt2024544/plotsummary/","12 Years a Slave","2013"
"/title/tt1800241/?ref_=ttls_li_tt","https://www.imdb.com/title/tt1800241/","https://www.imdb.com/title/tt1800241/plotsummary/","American Hustle","2013"
"/title/tt1535109/?ref_=ttls_li_tt","https://www.imdb.com/title/tt1535109/","https://www.imdb.com/title/tt1535109/plotsummary/","Captain Phillips","2013"
"/title/tt0790636/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0790636/","https://www.imdb.com/title/tt0790636/plotsummary/","Dallas Buyers Club","2013"
"/title/tt1454468/?ref_=ttls_li_tt","https://www.imdb.com/title/tt1454468/","https://www.imdb.com/title/tt1454468/plotsummary/","Gravity","2013"
"/title/tt1798709/?ref_=ttls_li_tt","https://www.imdb.com/title/tt1798709/","https://www.imdb.com/title/tt1798709/plotsummary/","Her","2013"
"/title/tt1821549/?ref_=ttls_li_tt","https://www.imdb.com/title/tt1821549/","https://www.imdb.com/title/tt1821549/plotsummary/","Nebraska","2013"
"/title/tt2431286/?ref_=ttls_li_tt","https://www.imdb.com/title/tt2431286/","https://www.imdb.com/title/tt2431286/plotsummary/","Philomena","2013"
"/title/tt0993846/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0993846/","https://www.imdb.com/title/tt0993846/plotsummary/","The Wolf of Wall Street","2013"
"/title/tt1024648/?ref_=ttls_li_tt","https://www.imdb.com/title/tt1024648/","https://www.imdb.com/title/tt1024648/plotsummary/","Argo","2012"
