"","document","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","...52"
"1","1927:TheRacket",0,0,0,0.104,0,0,0,0.009,0,0.07,0.438,0,0,0,0,0,0,0,0,0.001,0,0,0.004,0.011,0,0,0,0,0,0,0,0.001,0.065,0,0,0,0,0.007,0,0,0,0.014,0,0.093,0,0.024,0,0,0.157,0,18
"2","1928:InOldArizona",0,0.016,0,0,0.033,0,0,0,0,0,0.408,0,0,0,0.235,0,0,0,0,0.002,0.003,0,0.057,0,0,0,0,0,0.026,0.058,0,0,0,0,0,0,0,0.07,0,0,0,0.077,0,0,0,0,0.011,0.002,0,0.001,18
"3","1928:TheBroadwayMelody",0,0,0,0,0.001,0,0,0.004,0,0,0.463,0,0,0,0,0,0,0,0.22,0,0,0.004,0,0.015,0,0.009,0,0,0,0,0,0,0,0.009,0,0.001,0,0,0,0,0,0.269,0.002,0,0,0,0,0,0,0,18
"4","1928:ThePatriot",0,0.07,0,0.035,0,0,0,0,0,0.001,0,0,0,0.103,0,0,0.154,0,0,0,0,0.051,0.358,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0.178,4
"5","1929:AllQuietontheWesternFront",0,0.018,0,0.056,0,0,0,0,0.004,0,0.243,0,0,0,0,0,0,0.001,0,0.019,0,0.126,0.235,0,0,0,0,0,0.011,0.001,0,0,0,0,0.001,0,0,0.058,0.126,0,0,0.061,0,0.001,0,0,0.035,0,0,0.002,4
"6","1929:TheBigHouse",0,0.01,0,0.013,0,0.002,0,0,0,0,0.598,0,0.001,0,0,0.001,0.001,0,0,0,0,0.011,0.029,0,0.102,0,0,0.032,0.002,0.018,0,0,0,0,0,0,0,0.018,0.018,0,0,0.063,0.017,0,0,0,0.016,0.007,0,0.036,18
"7","1929:TheDivorcee",0,0,0.016,0.084,0,0.006,0.02,0,0.001,0,0.225,0.002,0,0,0,0,0,0,0.005,0,0.001,0.028,0,0,0,0,0.001,0.006,0,0,0,0,0,0,0.002,0,0,0.065,0.003,0,0,0.488,0,0,0,0.023,0,0,0.007,0.015,12
"8","1930:Cimarron",0.001,0.202,0,0.072,0,0,0.001,0.043,0,0,0.146,0,0,0.003,0,0,0.001,0,0,0.051,0.005,0.039,0,0,0,0,0.003,0.028,0.004,0,0.02,0,0,0,0,0.008,0,0.065,0,0.001,0,0.106,0,0.01,0.001,0.103,0,0,0.085,0,2
"9","1930:GrandHotel",0,0,0,0.09,0.001,0,0.002,0,0,0,0.022,0,0,0.223,0,0.002,0,0,0.046,0.003,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0.007,0,0,0,0.114,0.009,0.007,0.055,0.011,0.391,0,0,0.008,0,0,0,0,10
"10","1930:TheFrontPage",0.007,0,0,0,0,0.004,0,0,0,0.05,0.299,0,0,0.002,0,0,0,0,0,0,0,0.016,0.001,0,0.01,0,0,0,0,0.206,0.015,0,0.054,0,0,0,0.009,0.002,0.031,0,0.03,0.084,0.023,0.068,0.002,0,0,0,0.052,0.033,17
