"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49"
"32",0,0.003,0,0.004,0,0.002,0,0.018,0,0,0.37,0.002,0,0,0,0,0,0,0.001,0,0,0.071,0,0,0,0,0,0.008,0,0.003,0,0.015,0,0,0,0.005,0,0.005,0,0,0.003,0.301,0.029,0.072,0,0,0.002,0.004,0.067
"33",0,0,0.002,0.051,0,0,0,0.043,0,0,0.105,0.007,0,0,0,0,0,0,0.035,0,0,0.123,0,0,0,0.001,0,0.009,0.002,0,0.01,0,0,0,0,0,0,0.032,0,0,0,0.535,0,0,0,0,0.005,0.038,0
"34",0,0,0,0.02,0,0,0,0.002,0,0,0,0,0,0.001,0,0,0.021,0,0.034,0.044,0.001,0.031,0,0.003,0,0,0.001,0.679,0,0.001,0.006,0.007,0.001,0,0,0,0.001,0.101,0.002,0,0,0,0,0,0.002,0,0,0,0
"35",0,0,0,0,0.001,0,0,0,0,0,0.476,0,0.001,0,0,0,0,0,0.226,0,0,0.001,0,0.02,0,0.005,0,0,0,0,0,0.002,0,0.011,0,0,0,0,0,0.001,0,0.25,0,0,0.003,0,0,0,0
"36",0,0.012,0,0.118,0,0,0.355,0.004,0,0.001,0.034,0,0,0,0,0,0,0,0,0.284,0,0,0,0,0,0.021,0,0.007,0,0,0,0,0,0,0,0,0,0.129,0,0.001,0.006,0.02,0,0,0,0,0,0,0.004
"37",0,0.007,0,0.143,0,0,0.045,0.023,0,0.001,0,0,0.001,0,0,0,0,0,0.006,0.045,0,0.094,0.001,0.001,0,0.008,0,0.051,0.001,0.001,0,0,0,0,0,0,0.005,0.34,0.001,0,0,0.214,0.009,0.001,0.001,0,0,0,0
"38",0,0,0.001,0.081,0,0.001,0,0,0.002,0.042,0.121,0,0,0,0.001,0,0,0,0,0.084,0.004,0.178,0.001,0.002,0,0,0,0,0,0,0.034,0,0,0,0,0,0,0.282,0,0,0.009,0.04,0.023,0,0.002,0,0,0,0.093
"39",0,0.001,0,0.266,0,0,0.692,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",0,0.048,0,0.116,0.001,0.003,0,0.01,0.002,0,0.112,0,0,0.004,0.001,0,0.005,0,0,0,0,0.024,0,0,0.005,0,0,0,0.011,0.058,0,0,0,0,0,0,0,0.321,0.043,0.003,0,0.164,0,0.005,0.031,0.015,0.009,0.009,0
"41",0,0,0,0.007,0,0,0.13,0,0,0.002,0.302,0,0,0.001,0,0,0,0,0,0.082,0,0.104,0,0.004,0,0.001,0,0,0.002,0,0.005,0.012,0,0.007,0,0,0,0.152,0,0,0.001,0.064,0.001,0.041,0,0,0.024,0,0.012
"42",0,0,0,0.252,0.001,0.001,0.005,0,0,0,0.156,0.004,0,0,0.004,0,0,0,0,0.105,0.002,0.013,0.14,0,0.02,0,0,0.014,0.056,0,0,0,0,0,0,0,0,0.159,0.062,0,0,0.004,0.001,0,0,0,0,0.001,0
"43",0,0,0.028,0.178,0,0.003,0,0,0.027,0.001,0.075,0,0.002,0.002,0,0,0.005,0,0,0,0,0,0.006,0,0,0,0.04,0,0.017,0,0,0,0.002,0.005,0,0,0.01,0.097,0.024,0.001,0,0.474,0,0,0,0,0,0,0
"44",0,0.001,0,0.164,0,0.001,0.01,0.03,0,0,0.001,0,0,0,0,0,0.003,0,0,0.243,0.001,0.088,0,0.001,0.009,0,0,0.008,0,0,0,0,0,0,0,0,0.001,0.258,0,0,0,0.084,0,0,0,0,0,0,0.098
"45",0.002,0,0,0.119,0.001,0,0.049,0.035,0,0,0.092,0.018,0,0.001,0.001,0,0,0,0,0.044,0,0.017,0,0,0,0.006,0.022,0,0,0.002,0,0,0.003,0,0,0,0.003,0.039,0.029,0.003,0,0.47,0.039,0,0,0,0,0.002,0
"46",0.001,0,0.013,0.098,0,0.001,0.004,0.031,0,0,0.252,0,0,0.002,0,0.015,0.002,0.001,0,0,0.001,0.034,0,0,0,0.056,0.01,0.002,0.01,0,0.001,0,0,0.001,0.003,0,0.002,0.003,0,0,0,0.384,0.014,0,0.004,0.035,0.002,0.003,0.015
"47",0,0,0,0.036,0.047,0,0.002,0.017,0.003,0,0.128,0,0,0.299,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0.017,0.001,0,0.001,0.005,0,0,0,0.051,0.034,0,0.002,0.274,0,0.001,0.073
"48",0,0,0,0.001,0.001,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.031,0,0.032,0,0,0,0,0,0.903,0.002,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0
"49",0.012,0,0.007,0.018,0,0,0,0,0,0.058,0.465,0.001,0.008,0,0,0,0,0,0.047,0.054,0,0.094,0,0,0,0.001,0,0.016,0,0,0.005,0.001,0.003,0.037,0,0,0,0.003,0,0,0,0.149,0.001,0.001,0,0.001,0.001,0.015,0
"50",0,0,0,0.044,0,0,0,0.101,0,0,0.234,0,0,0.001,0,0,0,0,0.149,0,0.006,0,0.001,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0.162,0,0,0,0.271,0,0,0,0.018,0,0,0.001
"51",0.003,0.016,0,0,0,0,0.061,0.024,0.001,0,0.389,0,0,0.001,0,0,0,0,0,0.004,0,0.18,0,0,0,0.257,0,0.004,0,0.001,0,0,0,0,0,0,0.001,0.008,0,0,0,0.025,0.001,0,0,0,0.015,0.006,0
"52",0,0.007,0,0,0,0,0,0,0,0.002,0.611,0.002,0,0.002,0.001,0.001,0,0,0,0.002,0,0.039,0.006,0,0,0.01,0,0,0,0.155,0,0,0,0,0,0,0,0.003,0.002,0.001,0.001,0.002,0.023,0.07,0,0.001,0.043,0.016,0
"53",0,0.076,0.001,0.018,0,0.001,0,0,0,0.164,0.347,0,0.003,0,0,0,0,0,0,0.023,0,0.031,0,0,0,0,0,0,0,0.045,0,0,0,0,0,0,0,0.056,0,0,0,0.114,0,0,0.003,0.043,0,0,0.075
"54",0.006,0,0,0.145,0.074,0,0.021,0,0,0,0.021,0,0.014,0.298,0.018,0,0.025,0,0,0.01,0,0.037,0,0,0,0,0.106,0,0,0,0.004,0.007,0,0,0,0,0,0.019,0.011,0,0,0,0.001,0,0,0.078,0,0,0
"55",0.001,0.001,0.001,0.001,0.158,0.001,0.001,0.001,0.086,0.001,0.001,0.001,0.001,0.327,0.013,0.001,0.001,0.001,0.001,0.001,0.013,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.013,0.001,0.001,0.001,0.037,0.001,0.001,0.013,0.001,0.025,0.001,0.001,0.001,0.254,0.001,0.013,0.001,0.001,0.001,0.001
"56",0,0.03,0,0.17,0.003,0.003,0,0,0,0,0.211,0,0,0,0,0,0,0,0.014,0,0,0,0,0.018,0,0,0,0,0.009,0,0.002,0,0,0.015,0,0,0.003,0.052,0,0,0,0.386,0.009,0,0.002,0,0.012,0.02,0.038
"57",0.002,0.277,0,0,0,0,0,0.003,0,0,0.035,0,0,0,0,0,0,0,0,0.295,0,0.322,0,0,0,0,0,0,0.001,0.002,0,0,0,0,0,0,0,0.012,0.001,0,0.001,0.047,0,0.001,0,0,0,0,0
"58",0,0,0,0.188,0,0,0,0,0.002,0,0,0,0,0,0,0,0.008,0,0,0.112,0,0,0,0,0.001,0,0,0,0,0,0,0,0.018,0,0,0,0,0.18,0.246,0,0,0,0,0,0,0.008,0,0,0.235
"59",0.002,0.001,0,0,0,0,0,0,0,0,0.418,0,0,0,0,0.008,0,0,0.069,0.001,0.033,0,0.019,0.002,0,0.003,0,0.004,0.001,0.012,0,0,0.003,0.145,0,0,0,0,0,0.018,0,0.234,0,0.006,0,0.018,0.003,0,0
"60",0,0,0,0.075,0,0,0.001,0.026,0,0.086,0.447,0,0,0,0,0,0.001,0,0,0.002,0,0.201,0,0,0.064,0,0,0.009,0.003,0,0,0,0,0.004,0.014,0,0,0,0,0,0,0,0,0.006,0,0,0.014,0,0.046
"61",0,0.019,0.088,0.065,0.002,0,0.001,0,0,0,0.197,0,0,0,0.001,0,0.009,0,0.008,0,0,0.022,0,0,0,0.001,0,0.006,0,0,0,0,0,0.074,0,0,0,0,0,0,0.002,0.406,0.046,0,0,0.002,0.005,0.045,0.001
"62",0.032,0.016,0.034,0.105,0,0,0.064,0,0,0,0.112,0.001,0.012,0,0,0,0,0,0.03,0.001,0,0.062,0.05,0,0,0,0.001,0.001,0,0.004,0.023,0.001,0.001,0,0,0.029,0,0.199,0.151,0,0,0.051,0,0,0.014,0,0.003,0,0
"63",0,0.178,0.005,0.095,0,0,0.008,0.027,0,0.005,0.152,0,0,0,0,0,0,0,0,0.016,0,0,0,0,0,0,0,0.011,0.015,0,0,0,0,0.005,0.022,0,0,0.152,0,0,0.008,0.283,0,0,0,0,0.008,0,0.01
"64",0,0.001,0.014,0.095,0,0,0,0,0.007,0,0.011,0,0,0,0.001,0,0,0.018,0.006,0,0,0.088,0,0,0.007,0,0,0.001,0,0.079,0,0,0,0,0.001,0,0,0.484,0,0,0,0.179,0,0,0.003,0,0,0,0
"65",0.016,0.022,0,0,0,0,0.014,0,0.005,0.004,0.449,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.005,0.105,0.011,0,0.005,0,0,0,0,0.033,0,0,0,0,0,0,0.284,0,0,0,0,0.042,0,0
"66",0,0.001,0,0.147,0,0,0.051,0,0.002,0,0.027,0,0,0,0,0,0.05,0,0,0.441,0,0,0,0,0,0,0.003,0.01,0.008,0,0,0,0,0,0,0.015,0,0.221,0,0,0.001,0.013,0,0,0,0,0,0.003,0
"67",0,0,0,0.117,0.001,0.015,0,0.037,0,0,0.266,0,0,0,0,0.001,0,0.001,0,0,0.001,0.039,0,0,0,0,0,0,0,0,0,0,0.017,0,0,0,0,0,0.043,0,0.002,0.247,0,0,0,0.023,0.009,0.138,0.027
"68",0,0.018,0,0.152,0,0,0,0,0,0,0.221,0,0,0.01,0.003,0,0,0,0,0,0,0.007,0,0,0.016,0,0,0,0.063,0,0.001,0,0,0,0,0,0,0.03,0,0,0.121,0.32,0,0,0,0,0.03,0,0.001
"69",0,0.073,0,0,0.017,0,0,0.006,0,0,0,0,0,0.328,0.001,0,0.031,0,0,0.011,0,0.007,0.025,0,0.002,0,0,0.006,0.033,0.012,0,0,0,0,0.12,0,0,0.037,0,0,0.007,0.098,0.034,0.005,0,0.011,0.036,0,0
"70",0,0,0,0.189,0,0,0.007,0.09,0.154,0.001,0.075,0,0.003,0,0,0.003,0,0.001,0,0,0,0,0,0.002,0,0.007,0.064,0,0.01,0.003,0,0,0.042,0.015,0.048,0,0,0.001,0,0,0,0.278,0,0,0,0.001,0.001,0,0
"71",0,0,0,0.086,0,0,0.001,0,0,0.013,0.1,0,0,0.117,0,0,0,0,0.001,0,0,0.007,0,0,0,0,0.001,0,0,0,0,0.003,0.003,0.001,0.001,0.003,0.001,0.005,0,0.002,0,0,0.033,0,0,0.58,0,0,0.004
"72",0.001,0,0.03,0.184,0.017,0,0,0,0,0,0,0,0.004,0.172,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0,0,0,0,0,0,0,0,0,0,0.098,0.14,0,0,0.054,0.244,0.001,0,0.017,0,0,0.019
"73",0,0.155,0,0,0,0,0.001,0.002,0,0,0.285,0,0,0,0,0,0,0,0,0,0.002,0.019,0,0,0.02,0,0,0.002,0.033,0.459,0,0.003,0,0,0.002,0.001,0,0,0,0,0,0.012,0,0,0,0,0,0,0
"74",0,0.014,0,0,0.618,0.001,0,0,0,0,0.037,0,0,0.183,0,0,0,0,0,0,0,0,0.009,0,0.003,0,0,0,0,0.006,0,0,0,0,0,0.002,0,0.002,0,0,0.002,0.009,0.015,0,0,0,0,0,0
"75",0,0,0.001,0.008,0,0,0,0,0,0,0.015,0,0,0.027,0,0,0.009,0.001,0,0.006,0.859,0,0,0,0,0.001,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0
"76",0,0.036,0,0.055,0,0,0.015,0,0.003,0,0.002,0,0,0.001,0,0,0,0,0,0.067,0,0.143,0,0,0,0,0,0.098,0.049,0,0,0,0,0,0,0,0,0.266,0,0,0,0.206,0.002,0,0,0,0.009,0.001,0
"77",0,0,0.009,0.215,0,0,0.024,0.003,0.012,0.001,0.127,0,0,0,0,0,0.006,0.025,0,0,0,0.027,0,0.001,0,0.019,0.018,0,0.001,0,0,0.001,0.008,0.001,0,0,0.016,0.063,0.193,0,0,0.176,0,0.051,0.002,0.002,0,0,0
"78",0.003,0,0.013,0.069,0,0,0,0.028,0.026,0.032,0.299,0.014,0.005,0.01,0.002,0,0,0.04,0.014,0,0.003,0.042,0,0.005,0,0.011,0,0.024,0.001,0,0,0,0,0,0,0,0,0,0,0,0.032,0.3,0.017,0,0,0,0.012,0,0
"79",0,0,0,0.269,0,0,0,0,0.001,0,0.027,0.002,0.001,0.003,0,0,0,0,0,0,0,0.001,0,0,0.004,0.057,0,0.023,0,0.01,0,0,0,0,0,0,0,0.168,0,0,0.001,0.385,0.014,0,0,0,0.015,0,0.015
"80",0.193,0.117,0,0,0,0,0,0,0.001,0,0.105,0,0,0.24,0,0,0,0,0,0,0,0,0,0.105,0.008,0,0,0,0,0.136,0,0.002,0,0,0,0,0.001,0,0,0,0,0,0,0.019,0,0.038,0,0,0
"81",0,0,0,0.124,0,0,0,0.028,0,0,0.135,0.003,0.043,0,0,0,0.004,0,0.012,0.133,0.003,0,0,0,0,0,0.035,0,0,0,0,0.001,0,0,0.006,0.004,0,0.074,0.341,0,0.031,0,0.001,0.014,0,0,0,0,0.003
"82",0,0.03,0,0.302,0.001,0,0.005,0.022,0,0,0,0.006,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.001,0,0,0.001,0,0.02,0,0,0,0,0,0,0.16,0,0.003,0,0.245,0.002,0,0.002,0,0,0,0.182
"83",0.001,0.001,0,0,0,0.005,0.407,0,0,0.002,0.287,0,0.001,0,0,0,0,0,0,0,0,0.014,0.047,0,0.001,0.048,0,0,0,0.002,0,0,0,0,0,0,0.001,0.077,0.024,0,0,0.042,0.001,0.008,0.002,0,0,0,0
"84",0,0,0.011,0.153,0,0,0,0.011,0,0,0.072,0,0,0.036,0,0.001,0.001,0.02,0.024,0,0,0.075,0.001,0,0,0.033,0,0.013,0,0.02,0,0,0.026,0,0,0.001,0.007,0.1,0,0,0,0.373,0.016,0,0,0.006,0.001,0,0
"85",0,0,0,0.081,0.001,0,0.04,0.059,0,0.017,0.104,0,0,0.001,0,0,0,0,0,0.022,0,0.124,0,0,0,0,0.001,0,0.015,0.001,0.001,0.001,0,0,0.001,0,0.001,0.019,0,0,0.02,0.439,0,0,0,0.03,0,0,0.023
"86",0,0,0,0.117,0.03,0.021,0.01,0.008,0,0,0.034,0.001,0,0.173,0,0,0,0,0.02,0.018,0.003,0,0,0.001,0,0.003,0,0.001,0,0,0,0,0.068,0.024,0,0,0,0.005,0.015,0,0,0.039,0.094,0,0.03,0.238,0.021,0.004,0
"87",0,0,0,0.183,0,0,0,0,0,0.001,0.367,0.003,0,0,0,0,0.001,0,0,0,0,0.022,0,0.001,0.002,0,0.048,0.001,0,0,0,0,0,0,0,0.188,0,0.033,0.002,0,0.001,0.094,0,0,0,0,0,0,0.007
"88",0.003,0.145,0,0.146,0,0.001,0.012,0,0,0,0.046,0.001,0,0,0,0,0,0,0,0.101,0,0.289,0.004,0,0,0,0,0.083,0.016,0,0,0,0,0,0,0.015,0,0.082,0,0,0.001,0,0,0.003,0,0,0.052,0,0
"89",0,0.413,0.014,0.037,0.001,0,0,0,0.001,0.001,0.287,0.001,0,0.001,0,0,0.001,0,0.002,0.027,0.002,0.002,0.124,0,0.005,0,0,0.011,0,0,0.001,0,0,0,0,0,0,0,0.051,0.001,0,0.002,0,0,0,0,0,0.006,0
"90",0,0,0,0.203,0,0,0,0.038,0,0.001,0.097,0,0,0,0,0,0,0,0,0,0,0.029,0,0,0,0.005,0,0,0,0,0.009,0,0,0,0.003,0,0,0.103,0,0,0.001,0.455,0.024,0,0,0.003,0.003,0,0.024
"91",0,0.084,0,0.11,0.004,0,0.003,0.171,0,0,0.17,0,0,0,0,0,0,0,0,0.001,0,0.099,0.002,0.001,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.043,0,0,0.009,0.298,0.001,0,0,0,0.001,0,0.001
"92",0,0,0,0.065,0.006,0,0.003,0,0,0,0.045,0,0,0.268,0.004,0,0,0,0,0.012,0,0,0.002,0,0,0.002,0,0,0,0,0,0.001,0,0,0,0,0.012,0.015,0.001,0,0,0.012,0.269,0.065,0,0,0.002,0,0.013
"93",0.01,0.023,0.001,0.157,0.002,0,0.079,0,0,0,0.145,0,0.027,0,0.097,0,0,0,0.001,0,0,0.028,0.049,0,0,0.02,0.06,0,0.005,0.011,0.024,0,0,0,0.002,0.002,0,0.011,0.236,0.002,0,0,0,0.006,0,0,0,0,0
"94",0.001,0.017,0,0.177,0.001,0.001,0,0.001,0,0,0.287,0,0,0.012,0,0,0.028,0,0,0,0,0.125,0.001,0,0,0.003,0,0.005,0,0,0.003,0.001,0,0.001,0,0,0.001,0.028,0,0,0.061,0.207,0.003,0,0,0,0.03,0,0.005
"95",0,0,0.001,0.134,0,0,0.006,0,0,0,0.025,0,0.007,0,0,0,0.001,0,0,0.037,0.001,0.072,0.017,0,0.001,0.006,0.026,0.025,0,0,0.014,0.008,0.001,0,0,0,0,0.067,0.086,0,0,0.435,0,0.001,0,0,0.022,0.007,0.001
"96",0,0,0,0.295,0,0.003,0,0,0,0,0.033,0,0.001,0.018,0.001,0,0,0.036,0.016,0,0.002,0.045,0,0,0.006,0,0.001,0,0,0,0,0,0.011,0,0,0,0,0.075,0.022,0,0.007,0.379,0.02,0.004,0,0.021,0,0,0.001
"97",0.001,0.034,0.001,0.158,0.005,0,0,0.036,0.001,0,0.134,0,0,0,0.001,0,0,0,0.001,0,0.001,0.141,0,0.027,0,0.006,0,0,0.011,0.013,0.017,0.001,0.008,0,0,0,0.001,0.108,0,0,0,0.258,0,0,0,0,0.011,0.01,0.008
"98",0,0.003,0.012,0.03,0,0,0.003,0.005,0,0,0.331,0.021,0.012,0.003,0,0,0,0,0,0.288,0.003,0.003,0,0,0,0,0,0.101,0,0,0,0,0,0,0,0,0,0.023,0,0,0,0.101,0,0,0,0,0,0.009,0
"99",0,0,0,0.043,0,0.002,0,0,0.011,0.014,0.332,0,0,0,0,0,0,0,0.005,0.009,0,0.02,0,0,0,0,0.001,0,0,0,0,0.003,0,0,0.267,0,0,0,0,0.001,0.03,0.168,0.014,0.011,0.001,0,0,0.067,0
